rgi_id,auto_term,lake_level,image_id,image_date,contributor,inventory_doi,notes
RGI2000-v7.0-G-02-00010,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00011,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00042,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00069,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00076,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00088,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00091,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00092,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00093,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00127,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00128,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00129,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00130,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00142,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00145,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00146,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00148,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00149,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00150,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00151,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00158,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00159,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00160,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00162,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00163,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00164,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00165,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00166,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00171,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00177,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00179,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00180,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00182,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00183,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00186,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00187,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00188,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00193,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00194,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00195,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00248,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00282,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00283,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00284,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00286,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00287,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00288,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00307,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00308,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00309,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00310,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00417,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00418,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00419,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00440,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00441,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00466,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00468,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00480,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00485,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00501,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00502,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00503,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00518,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00519,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00520,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00530,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00533,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00538,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00545,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00546,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00547,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00548,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00549,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00550,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00551,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00552,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00553,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00573,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00574,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00575,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00576,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00658,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00659,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00660,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00661,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00662,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00663,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00664,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00665,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00666,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00683,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
RGI2000-v7.0-G-02-00685,9,0,cloud-free mosaic,1999-2022,Armstrong,https://doi.org/10.1038/nature20584,marked based on lake flagging script
