rgi_id,lake_cat,image_id,image_date,inventory_doi,contributor,comments,notes
RGI2000-v7.0-G-05-03207,0,LE07_L2SP_009013_20010707_20200917_02_T1_SR_B2,2001-07-07,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-03208,0,LE07_L2SP_009013_20010707_20200917_02_T1_SR_B2,2001-07-07,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-03209,0,LE07_L2SP_009013_20010707_20200917_02_T1_SR_B2,2001-07-07,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-03210,0,LE07_L2SP_009013_20010707_20200917_02_T1_SR_B2,2001-07-07,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-03211,0,LE07_L2SP_009013_20010707_20200917_02_T1_SR_B2,2001-07-07,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-03212,0,LE07_L2SP_009013_20010707_20200917_02_T1_SR_B2,2001-07-07,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-03213,0,LE07_L2SP_009013_20010707_20200917_02_T1_SR_B2,2001-07-07,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-03214,0,LE07_L2SP_009013_20010707_20200917_02_T1_SR_B2,2001-07-07,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-03215,0,LE07_L2SP_009013_20010707_20200917_02_T1_SR_B2,2001-07-07,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-03216,0,LE07_L2SP_009013_20010707_20200917_02_T1_SR_B2,2001-07-07,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-03217,0,LE07_L2SP_009013_20010707_20200917_02_T1_SR_B2,2001-07-07,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-03218,0,LE07_L2SP_009013_20010707_20200917_02_T1_SR_B2,2001-07-07,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-03219,0,LE07_L2SP_009013_20010707_20200917_02_T1_SR_B2,2001-07-07,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-03220,0,LE07_L2SP_009013_20010707_20200917_02_T1_SR_B2,2001-07-07,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-03221,0,LE07_L2SP_009013_20010707_20200917_02_T1_SR_B2,2001-07-07,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-03222,0,LE07_L2SP_009013_20010707_20200917_02_T1_SR_B2,2001-07-07,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-03223,0,LE07_L2SP_009013_20010707_20200917_02_T1_SR_B2,2001-07-07,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-03224,0,LE07_L2SP_009013_20010707_20200917_02_T1_SR_B2,2001-07-07,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-03225,0,LE07_L2SP_009013_20010707_20200917_02_T1_SR_B2,2001-07-07,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-03226,0,LE07_L2SP_009013_20010707_20200917_02_T1_SR_B2,2001-07-07,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-03227,0,LE07_L2SP_009013_20010707_20200917_02_T1_SR_B2,2001-07-07,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-03228,0,LE07_L2SP_009013_20010707_20200917_02_T1_SR_B2,2001-07-07,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-03229,0,LE07_L2SP_009013_20010707_20200917_02_T1_SR_B2,2001-07-07,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-03230,0,LE07_L2SP_009013_20010707_20200917_02_T1_SR_B2,2001-07-07,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-03231,0,LE07_L2SP_009013_20010707_20200917_02_T1_SR_B2,2001-07-07,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-03232,0,LE07_L2SP_009013_20010707_20200917_02_T1_SR_B2,2001-07-07,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-03233,0,LE07_L2SP_009013_20010707_20200917_02_T1_SR_B2,2001-07-07,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-03234,0,LE07_L2SP_009013_20010707_20200917_02_T1_SR_B2,2001-07-07,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-03235,0,LE07_L2SP_009013_20010707_20200917_02_T1_SR_B2,2001-07-07,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
RGI2000-v7.0-G-05-03236,0,LE07_L2SP_009013_20010707_20200917_02_T1_SR_B2,2001-07-07,https://doi.org/10.1038/s41598-021-83509-1,Steiner,,
