rgi_id,auto_term,lake_cat,image_id,image_date,inventory_doi,contributor,notes
RGI2000-v7.0-G-06-00001,9,0,LE07_L1TP_221015_20011008_20210520_02_T1,2001-10-08,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00002,9,0,LE07_L1TP_221015_20011008_20210520_02_T1,2001-10-08,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00003,9,0,LE07_L1TP_221015_20011008_20210520_02_T1,2001-10-08,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00004,9,0,LE07_L1TP_221015_20011008_20210520_02_T1,2001-10-08,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00005,9,0,LE07_L1TP_221015_20011008_20210520_02_T1,2001-10-08,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00006,9,0,LE07_L1TP_221015_20011008_20210520_02_T1,2001-10-08,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00007,9,0,LE07_L1TP_221015_20011008_20210520_02_T1,2001-10-08,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00008,9,0,LE07_L1TP_221015_20011008_20210520_02_T1,2001-10-08,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00009,9,0,LE07_L1TP_222014_20000910_20200918_02_T1,2000-09-10,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00010,9,0,LE07_L1TP_222014_20000910_20200918_02_T1,2000-09-10,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00011,9,0,LE07_L1TP_222014_20000910_20200918_02_T1,2000-09-10,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00012,9,0,LE07_L1TP_222014_20000910_20200918_02_T1,2000-09-10,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00013,9,0,LE07_L1TP_222014_20000910_20200918_02_T1,2000-09-10,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00014,9,0,LE07_L1TP_222014_20000910_20200918_02_T1,2000-09-10,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00015,9,0,LE07_L1TP_222014_20000910_20200918_02_T1,2000-09-10,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00016,9,0,LE07_L1TP_222014_20000910_20200918_02_T1,2000-09-10,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
