rgi_id,auto_term,lake_cat,image_id,image_date,inventory_doi,contributor,notes
RGI2000-v7.0-G-07-00001,9,0,LE07_L1TP_218003_19990710_20200918_02_T1,1999-07-10,https://doi.org/10.1017/jog.2023.34,Tallentire,
RGI2000-v7.0-G-07-00002,9,0,LE07_L1TP_218003_19990710_20200918_02_T1,1999-07-10,https://doi.org/10.1017/jog.2023.34,Tallentire,
RGI2000-v7.0-G-07-00003,9,0,LE07_L1TP_218003_19990710_20200918_02_T1,1999-07-10,https://doi.org/10.1017/jog.2023.34,Tallentire,
RGI2000-v7.0-G-07-00004,9,0,LE07_L1TP_218003_19990710_20200918_02_T1,1999-07-10,https://doi.org/10.1017/jog.2023.34,Tallentire,
RGI2000-v7.0-G-07-00005,9,0,LE07_L1TP_218003_19990710_20200918_02_T1,1999-07-10,https://doi.org/10.1017/jog.2023.34,Tallentire,
RGI2000-v7.0-G-07-00006,2,3,LE07_L1TP_218003_19990710_20200918_02_T1,1999-07-10,https://doi.org/10.1017/jog.2023.34,Tallentire,
RGI2000-v7.0-G-07-00007,9,2,LE07_L1TP_218003_19990710_20200918_02_T1,1999-07-10,https://doi.org/10.1017/jog.2023.34,Tallentire,
RGI2000-v7.0-G-07-00008,1,0,LE07_L1TP_218003_19990710_20200918_02_T1,1999-07-10,https://doi.org/10.1017/jog.2023.34,Tallentire,
RGI2000-v7.0-G-07-00009,1,0,LE07_L1TP_218003_19990710_20200918_02_T1,1999-07-10,https://doi.org/10.1017/jog.2023.34,Tallentire,
RGI2000-v7.0-G-07-00010,1,0,LE07_L1TP_218003_19990710_20200918_02_T1,1999-07-10,https://doi.org/10.1017/jog.2023.34,Tallentire,
RGI2000-v7.0-G-07-00011,1,0,LE07_L1TP_218003_19990710_20200918_02_T1,1999-07-10,https://doi.org/10.1017/jog.2023.34,Tallentire,
RGI2000-v7.0-G-07-00012,9,0,LE07_L1TP_218003_19990710_20200918_02_T1,1999-07-10,https://doi.org/10.1017/jog.2023.34,Tallentire,
RGI2000-v7.0-G-07-00013,9,0,LE07_L1TP_218003_19990710_20200918_02_T1,1999-07-10,https://doi.org/10.1017/jog.2023.34,Tallentire,
RGI2000-v7.0-G-07-00014,9,0,LE07_L1TP_218003_19990710_20200918_02_T1,1999-07-10,https://doi.org/10.1017/jog.2023.34,Tallentire,
