rgi_id,lake_cat,image_id,image_date,inventory_doi,contributor,Note
RGI2000-v7.0-G-10-00001,0,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00002,1,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00003,1,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00004,0,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00005,0,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00006,0,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,not a glacier
RGI2000-v7.0-G-10-00007,0,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00008,0,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00009,0,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,not a glacier
RGI2000-v7.0-G-10-00010,1,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00011,0,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00012,0,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00013,3,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00014,3,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00015,0,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00016,0,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00017,1,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00018,2,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00019,0,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00020,2,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00021,0,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,not a glacier
RGI2000-v7.0-G-10-00022,0,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00023,0,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00024,0,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00025,1,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00026,0,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00027,0,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00028,0,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00029,0,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00030,0,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00031,0,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00032,0,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00033,0,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00034,0,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00035,0,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00036,0,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00037,0,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00038,0,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00039,0,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00040,0,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00041,0,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00042,0,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00043,0,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00044,3,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00045,0,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00046,0,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00047,2,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00048,2,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00049,0,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00050,1,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00051,2,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00052,3,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00053,0,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00054,0,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00055,0,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00056,0,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00057,0,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00058,0,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00059,3,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00060,0,LE07_L2SP_167015_20000723_20200918_02_T1,2000-07-23,,Kutuzov,
RGI2000-v7.0-G-10-00061,3,LE07_L2SP_167015_20000723_20200918_02_T1,2000-07-23,,Kutuzov,
RGI2000-v7.0-G-10-00062,0,LE07_L2SP_167015_20000723_20200918_02_T1,2000-07-23,,Kutuzov,
RGI2000-v7.0-G-10-00063,1,LE07_L2SP_167015_20000723_20200918_02_T1,2000-07-23,,Kutuzov,
RGI2000-v7.0-G-10-00064,0,LE07_L2SP_167015_20000723_20200918_02_T1,2000-07-23,,Kutuzov,
RGI2000-v7.0-G-10-00065,0,LE07_L2SP_167015_20000723_20200918_02_T1,2000-07-23,,Kutuzov,
RGI2000-v7.0-G-10-00066,0,LE07_L2SP_167015_20000723_20200918_02_T1,2000-07-23,,Kutuzov,
RGI2000-v7.0-G-10-00067,2,LE07_L2SP_167015_20000723_20200918_02_T1,2000-07-23,,Kutuzov,
RGI2000-v7.0-G-10-00068,0,LE07_L2SP_167015_20000723_20200918_02_T1,2000-07-23,,Kutuzov,
RGI2000-v7.0-G-10-00069,3,LE07_L2SP_167015_20000723_20200918_02_T1,2000-07-23,,Kutuzov,
RGI2000-v7.0-G-10-00070,0,LE07_L2SP_167015_20000723_20200918_02_T1,2000-07-23,,Kutuzov,
RGI2000-v7.0-G-10-00071,0,LE07_L2SP_167015_20000723_20200918_02_T1,2000-07-23,,Kutuzov,
RGI2000-v7.0-G-10-00072,0,LE07_L2SP_167015_20000723_20200918_02_T1,2000-07-23,,Kutuzov,not a glacier
RGI2000-v7.0-G-10-00073,0,LE07_L2SP_167015_20000723_20200918_02_T1,2000-07-23,,Kutuzov,not a glacier
RGI2000-v7.0-G-10-00074,0,LE07_L2SP_167015_20000723_20200918_02_T1,2000-07-23,,Kutuzov,
RGI2000-v7.0-G-10-00075,0,LE07_L2SP_167015_20000723_20200918_02_T1,2000-07-23,,Kutuzov,
RGI2000-v7.0-G-10-00076,1,LE07_L2SP_167015_20000723_20200918_02_T1,2000-07-23,,Kutuzov,
RGI2000-v7.0-G-10-00077,0,LE07_L2SP_167015_20000723_20200918_02_T1,2000-07-23,,Kutuzov,
RGI2000-v7.0-G-10-00078,0,LE07_L2SP_167015_20000723_20200918_02_T1,2000-07-23,,Kutuzov,
RGI2000-v7.0-G-10-00079,0,LE07_L2SP_167015_20000723_20200918_02_T1,2000-07-23,,Kutuzov,
RGI2000-v7.0-G-10-00080,1,LE07_L2SP_167015_20000723_20200918_02_T1,2000-07-23,,Kutuzov,
RGI2000-v7.0-G-10-00081,2,LE07_L2SP_167015_20000723_20200918_02_T1,2000-07-23,,Kutuzov,
RGI2000-v7.0-G-10-00082,0,LE07_L2SP_167014_20000707_20200918_02_T1,2000-07-07,,Kutuzov,
RGI2000-v7.0-G-10-00083,0,LE07_L2SP_167014_20000707_20200918_02_T1,2000-07-07,,Kutuzov,
