rgi_id,auto_term,lake_cat,image_id,image_date,inventory_doi,contributor,notes
RGI2000-v7.0-G-03-00001,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00002,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00003,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00004,1,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00005,1,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00006,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00007,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00008,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00009,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00010,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00011,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00012,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00013,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00014,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00015,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00016,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00017,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00018,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00019,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00020,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00021,9,2,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00022,9,2,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00023,9,99,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00024,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00025,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00026,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00027,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00028,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00029,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00030,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00031,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00032,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00033,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00034,9,99,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00035,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00036,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00037,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00038,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00039,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00040,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00041,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00042,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00043,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00044,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00045,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00046,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00047,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00048,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00049,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00050,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00051,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00052,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00053,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00054,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00055,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00056,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00057,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00058,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00059,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00060,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00061,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00062,9,3,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00063,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00064,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00065,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00066,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00067,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00068,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00069,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00070,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00071,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00072,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00073,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00074,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00075,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00076,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00077,9,3,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00078,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00079,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00080,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00081,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00082,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00083,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00084,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00085,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00086,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00087,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00088,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00089,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00090,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00091,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00092,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00093,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00094,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00095,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00096,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00097,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00098,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00099,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00100,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00101,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00102,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00103,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00104,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00105,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00106,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
RGI2000-v7.0-G-03-00107,9,0,LE07_L1TP_055247_20000620_20200918_02_T1,2000-06-20,,"27,28",
