rgi_id,auto_term,lake_cat,image_id,image_date,inventory_doi,contributor,notes
RGI2000-v7.0-G-05-00001,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00002,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00003,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00004,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00005,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00006,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00007,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00008,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00009,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00010,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00011,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00012,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00013,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00014,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00015,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00016,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00017,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00018,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00019,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00020,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00021,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00022,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00023,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00024,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00025,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00026,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00027,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00028,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00029,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00030,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00031,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00032,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00033,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00034,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00035,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00036,9.0,2,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00037,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00038,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00039,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00040,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00041,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00042,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00043,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00044,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00045,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00046,2.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00047,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00048,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00049,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00050,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00051,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00052,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00053,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00054,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00055,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00056,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00057,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00058,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00059,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00060,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00061,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00062,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00063,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00064,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00065,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00066,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00067,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00068,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00069,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00070,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00071,9.0,0,LE07_L1TP_035005_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00072,9.0,0,LE07_L1TP_035004_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00073,9.0,0,LE07_L1TP_035004_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00074,2.0,0,LE07_L1TP_035004_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00075,9.0,0,LE07_L1TP_035004_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
RGI2000-v7.0-G-05-00076,9.0,0,LE07_L1TP_035004_19990724_20200918_02_T1,1999-07-24,https://doi.org/10.1038/s41598-021-83509-1,15,
