rgi_id,auto_term,lake_cat,image_id,image_date,inventory_doi,contributor,notes
RGI2000-v7.0-G-16-00001,,0.0,LT05_L1TP_009058_19990710_20240118_02_T1,1999-07-10,,7,
RGI2000-v7.0-G-16-00002,,0.0,LT05_L1TP_009058_19990710_20240118_02_T1,1999-07-10,,7,
RGI2000-v7.0-G-16-00003,,0.0,LT05_L1TP_009058_19990710_20240118_02_T1,1999-07-10,,7,
RGI2000-v7.0-G-16-00004,,0.0,LT05_L1TP_009058_19990710_20240118_02_T1,1999-07-10,,7,
RGI2000-v7.0-G-16-00005,,0.0,LT05_L1TP_009058_19990710_20240118_02_T1,1999-07-10,,7,
RGI2000-v7.0-G-16-00006,,0.0,LT05_L1TP_009058_19990710_20240118_02_T1,1999-07-10,,7,
RGI2000-v7.0-G-16-00007,,0.0,LT05_L1TP_009058_19990710_20240118_02_T1,1999-07-10,,7,
RGI2000-v7.0-G-16-00008,,0.0,LT05_L1TP_009058_19990710_20240118_02_T1,1999-07-10,,7,
RGI2000-v7.0-G-16-00009,,0.0,LT05_L1TP_009058_19990710_20240118_02_T1,1999-07-10,,7,
RGI2000-v7.0-G-16-00010,,0.0,LT05_L1TP_009058_19990710_20240118_02_T1,1999-07-10,,7,
RGI2000-v7.0-G-16-00011,,0.0,LT05_L1TP_009058_19990710_20240118_02_T1,1999-07-10,,7,
RGI2000-v7.0-G-16-00012,,0.0,LT05_L1TP_009058_19990710_20240118_02_T1,1999-07-10,,7,
RGI2000-v7.0-G-16-00013,,0.0,LT05_L1TP_009058_19990710_20240118_02_T1,1999-07-10,,7,
RGI2000-v7.0-G-16-00014,,0.0,LT05_L1TP_009058_19990710_20240118_02_T1,1999-07-10,,7,
RGI2000-v7.0-G-16-00015,,0.0,LT05_L1TP_009058_19990710_20240118_02_T1,1999-07-10,,7,
RGI2000-v7.0-G-16-00016,,0.0,LT05_L1TP_009058_19990710_20240118_02_T1,1999-07-10,,7,
RGI2000-v7.0-G-16-00017,,0.0,LT05_L1TP_009058_19990710_20240118_02_T1,1999-07-10,,7,
RGI2000-v7.0-G-16-00018,,0.0,LT05_L1TP_009058_19990710_20240118_02_T1,1999-07-10,,7,
RGI2000-v7.0-G-16-00019,,0.0,LT05_L1TP_009058_19990710_20240118_02_T1,1999-07-10,,7,
RGI2000-v7.0-G-16-00020,,0.0,LT05_L1TP_009058_19990710_20240118_02_T1,1999-07-10,,7,
RGI2000-v7.0-G-16-00021,,0.0,LT05_L1TP_009058_19990710_20240118_02_T1,1999-07-10,,7,
RGI2000-v7.0-G-16-00022,,0.0,LT05_L1TP_009058_19990710_20240118_02_T1,1999-07-10,,7,
RGI2000-v7.0-G-16-00023,,0.0,LT05_L1TP_009058_19990710_20240118_02_T1,1999-07-10,,7,
RGI2000-v7.0-G-16-00024,,0.0,LT05_L1TP_009058_19990710_20240118_02_T1,1999-07-10,,7,
RGI2000-v7.0-G-16-00025,,0.0,LT05_L1TP_009058_19990710_20240118_02_T1,1999-07-10,,7,
RGI2000-v7.0-G-16-00026,,0.0,LT05_L2SP_010060_19981221_20200908_02_T1,1998-12-21,,7,
RGI2000-v7.0-G-16-00027,,0.0,LT05_L2SP_010060_19981221_20200908_02_T1,1998-12-21,,7,
RGI2000-v7.0-G-16-00028,,0.0,LT05_L2SP_010060_19981221_20200908_02_T1,1998-12-21,,7,
