rgi_id,auto_term,lake_cat,image_id,image_date,inventory_doi,contributor,notes
RGI2000-v7.0-G-19-00001,,99,LE07_L1GT_001108_20001219_20200917_02_T2,2000-12-19,https://doi.org/10.5285/45c3cc90-098b-45e3-a809-16b80eed4ec2,"17,28,12,16,15",
RGI2000-v7.0-G-19-00002,,99,LE07_L1GT_001108_20001219_20200917_02_T2,2000-12-19,https://doi.org/10.5285/45c3cc90-098b-45e3-a809-16b80eed4ec2,"17,28,12,16,15",
RGI2000-v7.0-G-19-00003,,99,LE07_L1GT_001108_20001219_20200917_02_T2,2000-12-19,https://doi.org/10.5285/45c3cc90-098b-45e3-a809-16b80eed4ec2,"17,28,12,16,15",
RGI2000-v7.0-G-19-00004,,99,LE07_L1GT_001108_20001219_20200917_02_T2,2000-12-19,https://doi.org/10.5285/45c3cc90-098b-45e3-a809-16b80eed4ec2,"17,28,12,16,15",
RGI2000-v7.0-G-19-00005,,99,LE07_L1GT_001108_20001219_20200917_02_T2,2000-12-19,https://doi.org/10.5285/45c3cc90-098b-45e3-a809-16b80eed4ec2,"17,28,12,16,15",
RGI2000-v7.0-G-19-00006,,99,LE07_L1GT_001108_20001219_20200917_02_T2,2000-12-19,https://doi.org/10.5285/45c3cc90-098b-45e3-a809-16b80eed4ec2,"17,28,12,16,15",
RGI2000-v7.0-G-19-00007,,99,LE07_L1GT_001108_20001219_20200917_02_T2,2000-12-19,https://doi.org/10.5285/45c3cc90-098b-45e3-a809-16b80eed4ec2,"17,28,12,16,15",
RGI2000-v7.0-G-19-00008,,99,LE07_L1GT_001108_20001219_20200917_02_T2,2000-12-19,https://doi.org/10.5285/45c3cc90-098b-45e3-a809-16b80eed4ec2,"17,28,12,16,15",
RGI2000-v7.0-G-19-00009,,99,LE07_L1GT_001108_20001219_20200917_02_T2,2000-12-19,https://doi.org/10.5285/45c3cc90-098b-45e3-a809-16b80eed4ec2,"17,28,12,16,15",
RGI2000-v7.0-G-19-00010,,99,LE07_L1GT_001108_20001219_20200917_02_T2,2000-12-19,https://doi.org/10.5285/45c3cc90-098b-45e3-a809-16b80eed4ec2,"17,28,12,16,15",
