rgi_id,lake_level,image_id,image_date,inventory_doi,contributor,notes
RGI2000-v7.0-G-04-10841,1.0,LE07_L1TP_016016_20000907_20200917_02_T1,2000-09-07,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-10868,1.0,LE07_L1TP_016016_20000907_20200917_02_T1,2000-09-07,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-10869,2.0,LE07_L1TP_016016_20000907_20200917_02_T1,2000-09-07,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-10839,2.0,LE07_L1TP_016016_20000907_20200917_02_T1,2000-09-07,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-10867,2.0,LE07_L1TP_016016_20000907_20200917_02_T1,2000-09-07,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-10834,3.0,LE07_L1TP_016016_20000907_20200917_02_T1,2000-09-07,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-00712,2.0,LE07_L1TP_016016_20000907_20200917_02_T1,2000-09-07,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-10891,2.0,LE07_L1TP_016016_20000907_20200917_02_T1,2000-09-07,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-10889,3.0,LE07_L1TP_016016_20000907_20200917_02_T1,2000-09-07,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-10886,2.0,LE07_L1TP_016016_20000907_20200917_02_T1,2000-09-07,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-00711,3.0,LE07_L1TP_016016_20000907_20200917_02_T1,2000-09-07,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-00699,2.0,LE07_L1TP_016016_20000907_20200917_02_T1,2000-09-07,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-00692,3.0,LE07_L1TP_016016_20000907_20200917_02_T1,2000-09-07,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-00691,3.0,LE07_L1TP_016016_20000907_20200917_02_T1,2000-09-07,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-00702,3.0,LE07_L1TP_016016_20000907_20200917_02_T1,2000-09-07,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-00688,3.0,LE07_L1TP_016016_20000907_20200917_02_T1,2000-09-07,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-10872,2.0,LE07_L1TP_016016_20000907_20200917_02_T1,2000-09-07,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-00706,2.0,LE07_L1TP_016016_20000907_20200917_02_T1,2000-09-07,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-08559,2.0,LE07_L1TP_017013_20000813_20170210_01_T1,2000-08-13,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-08725,3.0,LE07_L1TP_017013_20000813_20170210_01_T1,2000-08-13,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-08726,3.0,LE07_L1TP_017013_20000813_20170210_01_T1,2000-08-13,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-08408,1.0,LE07_L1TP_017013_20000813_20170210_01_T1,2000-08-13,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-08613,2.0,LE07_L1TP_017013_20000813_20170210_01_T1,2000-08-13,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-06399,1.0,LE07_L1TP_017013_20000813_20170210_01_T1,2000-08-13,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-08652,1.0,LE07_L1TP_017013_20000813_20170210_01_T1,2000-08-13,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-08654,1.0,LE07_L1TP_017013_20000813_20170210_01_T1,2000-08-13,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-08759,1.0,LE07_L1TP_017013_20000813_20170210_01_T1,2000-08-13,,Will Kochtitzky and Kaleigh Potter,
RGI2000-v7.0-G-04-06268,2.0,LE07_L1TP_017013_20000813_20170210_01_T1,2000-08-13,,Will Kochtitzky and Kaleigh Potter,
