rgi_id,auto_term,lake_level,image_id,image_date,inventory_doi,contributor,notes
RGI2000-v7.0-G-10-00438,9,0,EPP085R015_7F20020628,2002-06-28,https://doi.org/10.5067/UO20NYM3YQB4,I. Barr,
RGI2000-v7.0-G-10-00439,9,0,LC08_L1TP_126012_20130805_20200912_02_T1,2013-08-05,https://doi.org/10.5067/UO20NYM3YQB4,I. Barr,
RGI2000-v7.0-G-10-00440,9,0,LC08_L1TP_126012_20130805_20200912_02_T1,2013-08-05,https://doi.org/10.5067/UO20NYM3YQB4,I. Barr,
RGI2000-v7.0-G-10-00441,9,0,LC08_L1TP_126012_20130805_20200912_02_T1,2013-08-05,https://doi.org/10.5067/UO20NYM3YQB4,I. Barr,
RGI2000-v7.0-G-10-00442,9,0,LC08_L1TP_126012_20130805_20200912_02_T1,2013-08-05,https://doi.org/10.5067/UO20NYM3YQB4,I. Barr,
RGI2000-v7.0-G-10-00443,9,0,LC08_L1TP_126012_20130805_20200912_02_T1,2013-08-05,https://doi.org/10.5067/UO20NYM3YQB4,I. Barr,
RGI2000-v7.0-G-10-00444,9,0,LC08_L1TP_126012_20130805_20200912_02_T1,2013-08-05,https://doi.org/10.5067/UO20NYM3YQB4,I. Barr,
RGI2000-v7.0-G-10-00445,9,0,LC08_L1TP_126012_20130805_20200912_02_T1,2013-08-05,https://doi.org/10.5067/UO20NYM3YQB4,I. Barr,
RGI2000-v7.0-G-10-00446,9,0,LC08_L1TP_126012_20130805_20200912_02_T1,2013-08-05,https://doi.org/10.5067/UO20NYM3YQB4,I. Barr,
RGI2000-v7.0-G-10-00447,9,0,LC08_L1TP_126012_20130805_20200912_02_T1,2013-08-05,https://doi.org/10.5067/UO20NYM3YQB4,I. Barr,
RGI2000-v7.0-G-10-00448,9,0,LC08_L1TP_126012_20130805_20200912_02_T1,2013-08-05,https://doi.org/10.5067/UO20NYM3YQB4,I. Barr,
RGI2000-v7.0-G-10-00449,9,0,LC08_L1TP_126012_20130805_20200912_02_T1,2013-08-05,https://doi.org/10.5067/UO20NYM3YQB4,I. Barr,
RGI2000-v7.0-G-10-00450,9,0,LC08_L1TP_126012_20130805_20200912_02_T1,2013-08-05,https://doi.org/10.5067/UO20NYM3YQB4,I. Barr,
