rgi_id,auto_term,lake_level,contributor,notes,image_id,image_date
RGI2000-v7.0-G-12-00115,9,3,Tiedzle,Small lake,LE07_L1TP_172030_20000912_20200918_02_T1,2000-09-12
RGI2000-v7.0-G-12-00318,9,3,Tiedzle,Small lake,LE07_L1TP_172030_20000912_20200918_02_T1,2000-09-12
RGI2000-v7.0-G-12-00347,9,3,Tiedzle,Small lake,LE07_L1TP_172030_20000912_20200918_02_T1,2000-09-12
RGI2000-v7.0-G-12-00348,9,3,Tiedzle,Small lake,LE07_L1TP_172030_20000912_20200918_02_T1,2000-09-12
RGI2000-v7.0-G-12-00369,9,3,Tiedzle,Small lake,LE07_L1TP_172030_20000912_20200918_02_T1,2000-09-12
RGI2000-v7.0-G-12-00433,9,3,Tiedzle,Small lake,LE07_L1TP_172030_20000912_20200918_02_T1,2000-09-12
RGI2000-v7.0-G-12-00435,9,3,Tiedzle,Small lake,LE07_L1TP_172030_20000912_20200918_02_T1,2000-09-12
RGI2000-v7.0-G-12-00449,9,3,Tiedzle,Small lake,LE07_L1TP_172030_20000912_20200918_02_T1,2000-09-12
RGI2000-v7.0-G-12-00473,9,1,Tiedzle,Small lake,LE07_L1TP_172030_20000912_20200918_02_T1,2000-09-12
RGI2000-v7.0-G-12-00502,9,3,Tiedzle,Small lake,LE07_L1TP_172030_20000912_20200918_02_T1,2000-09-12
RGI2000-v7.0-G-12-00643,9,2,Tiedzle,Two small lakes,LT05_L1TP_171030_20000812_20200906_02_T1,2000-08-12
RGI2000-v7.0-G-12-00693,9,3,Tiedzle,Small lake,LT05_L1TP_171030_20000812_20200906_02_T1,2000-08-12
RGI2000-v7.0-G-12-00774,9,3,Tiedzle,Small lake,LT05_L1TP_171030_20000812_20200906_02_T1,2000-08-12
RGI2000-v7.0-G-12-00847,9,3,Tiedzle,Small lake,LT05_L1TP_171030_20000812_20200906_02_T1,2000-08-12
RGI2000-v7.0-G-12-00997,9,2,Tiedzle,Two small lakes,LT05_L1TP_171030_20000812_20200906_02_T1,2000-08-12
RGI2000-v7.0-G-12-00998,9,3,Tiedzle,Small lake,LT05_L1TP_171030_20000812_20200906_02_T1,2000-08-12
RGI2000-v7.0-G-12-01022,9,3,Tiedzle,Small lake,LT05_L1TP_171030_20000812_20200906_02_T1,2000-08-12
RGI2000-v7.0-G-12-01113,9,3,Tiedzle,Small lake,LE07_L1TP_172030_20000912_20200918_02_T1,2000-09-12
RGI2000-v7.0-G-12-01209,9,3,Tiedzle,Small lake,LE07_L1TP_172030_20000912_20200918_02_T1,2000-09-12
RGI2000-v7.0-G-12-01214,9,3,Tiedzle,Small lake,LE07_L1TP_172030_20000912_20200918_02_T1,2000-09-12
RGI2000-v7.0-G-12-01246,9,3,Tiedzle,Small lake,LE07_L1TP_172030_20000912_20200918_02_T1,2000-09-12
RGI2000-v7.0-G-12-01249,9,3,Tiedzle,Small lake,LE07_L1TP_172030_20000912_20200918_02_T1,2000-09-12
RGI2000-v7.0-G-12-01264,9,3,Tiedzle,Small lake,LE07_L1TP_172030_20000912_20200918_02_T1,2000-09-12
RGI2000-v7.0-G-12-01286,9,3,Tiedzle,Small lake,LE07_L1TP_172030_20000912_20200918_02_T1,2000-09-12
RGI2000-v7.0-G-12-01599,9,3,Tiedzle,Small lake,LT05_L1TP_171030_20000812_20200906_02_T1,2000-08-12
RGI2000-v7.0-G-12-01728,9,3,Tiedzle,Small lake,LE07_L1TP_170030_20000728_20211119_02_T1,2000-07-28
RGI2000-v7.0-G-12-02009,9,2,Tiedzle,Two small lakes,LT05_L1TP_171030_20000812_20200906_02_T1,2000-08-12
RGI2000-v7.0-G-12-02010,9,3,Tiedzle,Small lake,LT05_L1TP_171030_20000812_20200906_02_T1,2000-08-12
RGI2000-v7.0-G-12-02016,9,3,Tiedzle,Small lake,LT05_L1TP_171030_20000812_20200906_02_T1,2000-08-12
RGI2000-v7.0-G-12-02152,9,3,Tiedzle,Small lake,LE07_L1TP_173030_20010805_20200917_02_T1,2001-08-05
RGI2000-v7.0-G-12-02213,9,3,Tiedzle,Small lake,,
