rgi_id,category,image_id,region,lake_inventory
RGI2000-v7.0-G-01-16980,3,LE07_L1TP_060019_20000810_20200917_02_T1,01_alaska,https://doi.org/10.18739/A2MK6591G
RGI2000-v7.0-G-01-10684,3,LE07_L1TP_068017_19990731_20200918_02_T1,01_alaska,https://doi.org/10.18739/A2MK6591G
RGI2000-v7.0-G-01-08014,3,LE07_L1TP_069018_20000809_20200917_02_T1,01_alaska,https://doi.org/10.18739/A2MK6591G
RGI2000-v7.0-G-15-06763,3,LE07_L1TP_140041_20001030_20200918_02_T1,15_south_asia_east,https://doi.org/10.5194/essd-12-2169-2020
RGI2000-v7.0-G-01-15261,2,LE07_L1TP_062018_20000909_20200917_02_T1,01_alaska,https://doi.org/10.18739/A2MK6591G
RGI2000-v7.0-G-01-16437,2,LE07_L1TP_063017_20000831_20200918_02_T1,01_alaska,https://doi.org/10.18739/A2MK6591G
RGI2000-v7.0-G-13-28434,2,LE07_L1TP_147031_20000913_20200917_02_T1,13_central_asia,https://doi.org/10.5194/essd-13-741-2021
RGI2000-v7.0-G-01-06125,2,LE07_L1TP_065017_19990811_20200918_02_T1,01_alaska,https://doi.org/10.18739/A2MK6591G
RGI2000-v7.0-G-01-05589,1,LE07_L1TP_065016_19990811_20200918_02_T1,01_alaska,https://doi.org/10.18739/A2MK6591G
RGI2000-v7.0-G-01-04360,1,LE07_L1TP_070016_20000816_20200918_02_T1,01_alaska,https://doi.org/10.18739/A2MK6591G
RGI2000-v7.0-G-01-16871,1,LE07_L1TP_060019_20000810_20200917_02_T1,01_alaska,https://doi.org/10.18739/A2MK6591G
RGI2000-v7.0-G-11-02473,1,LE07_L1TP_195028_20000828_20211120_02_T1,11_central_europe,https://doi.org/10.1594/PANGAEA.934190
RGI2000-v7.0-G-01-10928,0,LE07_L1TP_068017_19990731_20200918_02_T1,01_alaska,https://doi.org/10.18739/A2MK6591G
RGI2000-v7.0-G-01-11048,0,LE07_L1TP_068017_19990731_20200918_02_T1,01_alaska,https://doi.org/10.18739/A2MK6591G
RGI2000-v7.0-G-01-08628,0,LE07_L1TP_069018_20000809_20200917_02_T1,01_alaska,https://doi.org/10.18739/A2MK6591G
RGI2000-v7.0-G-14-21670,0,LE07_L1TP_149035_20000911_20200918_02_T1,14_south_asia_west,https://doi.org/10.5194/essd-12-2169-2020
