rgi_id,lake_terminating_level,image_id,image_date,inventory_doi,contributor,comments,,,,,,,
RGI2000-v7.0-G-14-00000,0,LE07_L2SP_153036_20001025_20200917_02_T1_SR_B2,25/10/2000,doi:10.5194/essd-12-2169-2020,Steiner,NA,,,,No lake terminus,Lake terminus,Non-dynamic lake terminus,Unknown
RGI2000-v7.0-G-14-00001,0,LE07_L2SP_153036_20001025_20200917_02_T1_SR_B2,25/10/2000,doi:10.5194/essd-12-2169-2020,Steiner,NA,,,,27672,0,0,0
RGI2000-v7.0-G-14-00002,0,LE07_L2SP_153036_20001025_20200917_02_T1_SR_B2,25/10/2000,doi:10.5194/essd-12-2169-2020,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00004,0,LE07_L2SP_153036_20001025_20200917_02_T1_SR_B2,25/10/2000,doi:10.5194/essd-12-2169-2020,Steiner,Not a glacier!,9999,,,,,,
RGI2000-v7.0-G-14-00005,0,LE07_L2SP_153036_20001025_20200917_02_T1_SR_B2,25/10/2000,doi:10.5194/essd-12-2169-2020,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00006,0,LE07_L2SP_153036_20001025_20200917_02_T1_SR_B2,25/10/2000,doi:10.5194/essd-12-2169-2020,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00007,0,LE07_L2SP_153036_20001025_20200917_02_T1_SR_B2,25/10/2000,doi:10.5194/essd-12-2169-2020,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00008,0,LE07_L2SP_153036_20001025_20200917_02_T1_SR_B2,25/10/2000,doi:10.5194/essd-12-2169-2020,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00009,0,LE07_L2SP_153036_20001025_20200917_02_T1_SR_B2,25/10/2000,doi:10.5194/essd-12-2169-2020,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00010,0,LE07_L2SP_153036_20001025_20200917_02_T1_SR_B2,25/10/2000,doi:10.5194/essd-12-2169-2020,Steiner,NA,,,,,,,
RGI2000-v7.0-G-14-00012,0,LE07_L2SP_153036_20001025_20200917_02_T1_SR_B2,25/10/2000,doi:10.5194/essd-12-2169-2020,Steiner,NA,,,,,,,
