rgi_id,auto_term,lake_cat,image_id,image_date,inventory_doi,contributor,notes
RGI2000-v7.0-G-01-00001,9,0,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,
RGI2000-v7.0-G-01-00002,9,0,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,
RGI2000-v7.0-G-01-00003,9,2,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,"matt flagged, some evidence in mosaic, missed in bri dataset"
RGI2000-v7.0-G-01-00004,9,0,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,
RGI2000-v7.0-G-01-00005,9,0,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,
RGI2000-v7.0-G-01-00006,9,0,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,
RGI2000-v7.0-G-01-00007,9,0,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,
RGI2000-v7.0-G-01-00008,9,0,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,
RGI2000-v7.0-G-01-00009,9,0,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,
RGI2000-v7.0-G-01-00010,9,0,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,
RGI2000-v7.0-G-01-00011,9,0,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,
RGI2000-v7.0-G-01-00012,9,0,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,
RGI2000-v7.0-G-01-00013,9,0,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,
RGI2000-v7.0-G-01-00014,9,0,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,
RGI2000-v7.0-G-01-00015,9,0,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,
RGI2000-v7.0-G-01-00016,9,0,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,
RGI2000-v7.0-G-01-00017,9,0,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,
RGI2000-v7.0-G-01-00018,9,0,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,
RGI2000-v7.0-G-01-00019,9,0,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,
RGI2000-v7.0-G-01-00020,9,0,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,
RGI2000-v7.0-G-01-00021,9,0,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,
RGI2000-v7.0-G-01-00022,9,0,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,
RGI2000-v7.0-G-01-00023,9,0,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,
RGI2000-v7.0-G-01-00024,9,0,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,
RGI2000-v7.0-G-01-00025,9,0,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,
RGI2000-v7.0-G-01-00026,9,0,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,
RGI2000-v7.0-G-01-00027,9,0,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,
RGI2000-v7.0-G-01-00028,9,0,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,
RGI2000-v7.0-G-01-00029,9,0,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,
RGI2000-v7.0-G-01-00030,9,0,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,
RGI2000-v7.0-G-01-00031,9,0,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,
RGI2000-v7.0-G-01-00032,9,0,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,
RGI2000-v7.0-G-01-00033,9,0,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,
RGI2000-v7.0-G-01-00034,9,0,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,
RGI2000-v7.0-G-01-00035,9,0,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,
RGI2000-v7.0-G-01-00036,9,0,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,
RGI2000-v7.0-G-01-00037,9,0,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,
RGI2000-v7.0-G-01-00038,9,0,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,
RGI2000-v7.0-G-01-00039,9,0,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,
RGI2000-v7.0-G-01-00040,9,0,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,
RGI2000-v7.0-G-01-00041,9,0,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,
RGI2000-v7.0-G-01-00042,9,0,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,
RGI2000-v7.0-G-01-00043,9,0,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,
RGI2000-v7.0-G-01-00044,2,0,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,"some clouds in mosaic, but doesn't appear in contact"
RGI2000-v7.0-G-01-00045,9,0,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,
RGI2000-v7.0-G-01-00046,9,0,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,
RGI2000-v7.0-G-01-00047,9,0,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,
RGI2000-v7.0-G-01-00048,9,0,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,
RGI2000-v7.0-G-01-00049,9,0,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,
RGI2000-v7.0-G-01-00050,9,0,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,
RGI2000-v7.0-G-01-00051,9,0,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,
RGI2000-v7.0-G-01-00052,9,0,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,
RGI2000-v7.0-G-01-00053,9,0,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,
RGI2000-v7.0-G-01-00054,9,0,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,
RGI2000-v7.0-G-01-00055,9,0,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,
RGI2000-v7.0-G-01-00056,9,0,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,
RGI2000-v7.0-G-01-00057,9,0,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,
RGI2000-v7.0-G-01-00058,9,0,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,
RGI2000-v7.0-G-01-00059,9,0,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,
RGI2000-v7.0-G-01-00060,9,0,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,
RGI2000-v7.0-G-01-00061,9,0,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,
RGI2000-v7.0-G-01-00062,2,0,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,
RGI2000-v7.0-G-01-00063,2,1,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,"potentially small terminal lake, matt flagged"
RGI2000-v7.0-G-01-00064,9,0,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,
RGI2000-v7.0-G-01-00065,9,0,"matt nolan google earth, verified with bri rick mosaic",1999-2001 mosaic,https://doi.org/10.18739/A2MK6591G,Armstrong,
