rgi_id,auto_term,lake_cat,image_id,image_date,inventory_doi,contributor,notes
RGI2000-v7.0-G-02-16816,2,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Rick, 
RGI2000-v7.0-G-02-16817,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Rick, 
RGI2000-v7.0-G-02-16818,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Rick, 
RGI2000-v7.0-G-02-16819,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Rick, 
RGI2000-v7.0-G-02-16820,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Rick, 
RGI2000-v7.0-G-02-16821,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Rick, 
RGI2000-v7.0-G-02-16822,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Rick, 
RGI2000-v7.0-G-02-16823,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Rick, 
RGI2000-v7.0-G-02-16824,2,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Rick, 
RGI2000-v7.0-G-02-16825,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Rick, 
RGI2000-v7.0-G-02-16826,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Rick, 
RGI2000-v7.0-G-02-16827,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Rick, 
RGI2000-v7.0-G-02-16828,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Rick, 
RGI2000-v7.0-G-02-16829,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Rick, 
RGI2000-v7.0-G-02-16830,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Rick, 
RGI2000-v7.0-G-02-16831,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Rick, 
RGI2000-v7.0-G-02-16832,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Rick, 
RGI2000-v7.0-G-02-16833,2,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Rick, 
RGI2000-v7.0-G-02-16834,2,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Rick, 
RGI2000-v7.0-G-02-16835,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Rick, 
RGI2000-v7.0-G-02-16836,9,0,cloud-free composite,1999-2022,https://doi.org/10.1038/nature20584,Rick, 
