rgi_id,src_date,area_km2,auto_term,lake_level,image_id,image_date,inventory_doi,contributor,contributor,contributor,contributor
RGI2000-v7.0-G-03-03198,1999-07-08T00:00:00,0.29183884115034,9,0,LE07_L1TP_051002_19990708_20200918_02_T1,1999-07-08,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03199,1999-07-08T00:00:00,0.45364446293168,9,0,LE07_L1TP_051002_19990708_20200918_02_T1,1999-07-08,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03200,1999-07-08T00:00:00,0.644651109410399,9,0,LE07_L1TP_051002_19990708_20200918_02_T1,1999-07-08,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03201,1999-07-08T00:00:00,0.259502111145564,9,0,LE07_L1TP_051002_19990708_20200918_02_T1,1999-07-08,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03202,1999-07-08T00:00:00,1.376168931990118,9,0,LE07_L1TP_051002_19990708_20200918_02_T1,1999-07-08,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03203,1999-07-08T00:00:00,3.194531054194543,9,0,LE07_L1TP_051002_19990708_20200918_02_T1,1999-07-08,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03204,1999-07-08T00:00:00,0.271368450344251,9,0,LE07_L1TP_051002_19990708_20200918_02_T1,1999-07-08,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03205,1999-07-08T00:00:00,0.328686962369545,9,0,LE07_L1TP_051002_19990708_20200918_02_T1,1999-07-08,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03206,1999-07-08T00:00:00,0.479747165076597,9,0,LE07_L1TP_051002_19990708_20200918_02_T1,1999-07-08,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03207,1999-07-08T00:00:00,1.506157053584174,9,0,LE07_L1TP_051002_19990708_20200918_02_T1,1999-07-08,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03208,1999-07-08T00:00:00,0.363823384570013,9,0,LE07_L1TP_051002_19990708_20200918_02_T1,1999-07-08,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03209,1999-07-08T00:00:00,2.271285340244435,9,0,LE07_L1TP_051002_19990708_20200918_02_T1,1999-07-08,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03210,1999-07-08T00:00:00,0.425119560078473,9,0,LE07_L1TP_051002_19990708_20200918_02_T1,1999-07-08,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03211,1999-07-08T00:00:00,2.247229339651724,9,0,LE07_L1TP_051002_19990708_20200918_02_T1,1999-07-08,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03212,1999-07-08T00:00:00,1.084188719935829,9,0,LE07_L1TP_051002_19990708_20200918_02_T1,1999-07-08,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03213,1999-07-08T00:00:00,0.255008203476246,9,0,LE07_L1TP_051002_19990708_20200918_02_T1,1999-07-08,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03214,1999-07-08T00:00:00,1.352175131491886,9,0,LE07_L1TP_051002_19990708_20200918_02_T1,1999-07-08,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03215,1999-07-08T00:00:00,0.335970147227075,9,0,LE07_L1TP_051002_19990708_20200918_02_T1,1999-07-08,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03216,1999-07-08T00:00:00,2.08834811145903,9,0,LE07_L1TP_051002_19990708_20200918_02_T1,1999-07-08,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03217,1999-07-08T00:00:00,0.33959277527629,9,0,LE07_L1TP_051002_19990708_20200918_02_T1,1999-07-08,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03218,1999-07-08T00:00:00,8.708028043998494,9,0,LE07_L1TP_051002_19990708_20200918_02_T1,1999-07-08,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03219,1999-07-08T00:00:00,0.466295221265034,9,0,LE07_L1TP_051002_19990708_20200918_02_T1,1999-07-08,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
RGI2000-v7.0-G-03-03220,1999-07-08T00:00:00,0.961123302276032,9,0,LE07_L1TP_051002_19990708_20200918_02_T1,1999-07-08,,Whyjay Zheng and Will Kochtitzky,zheng,Whyjay Zheng and Will Kochtitzky,zheng
