rgi_id,auto_term,lake_cat,image_id,image_date,inventory_doi,contributor,notes
RGI2000-v7.0-G-05-05006,9,0,LE07_L2SP_233017_19990921_20200918_02_T1_SR_B2,9/21/99,https://doi.org/10.1038/s41598-021-83509-1,Armstrong,
RGI2000-v7.0-G-05-05007,9,0,LE07_L2SP_233017_19990921_20200918_02_T1_SR_B2,9/21/99,https://doi.org/10.1038/s41598-021-83509-1,Armstrong,
RGI2000-v7.0-G-05-05008,9,0,LE07_L2SP_233017_19990921_20200918_02_T1_SR_B2,9/21/99,https://doi.org/10.1038/s41598-021-83509-1,Armstrong,
RGI2000-v7.0-G-05-05009,9,0,LE07_L2SP_233017_19990921_20200918_02_T1_SR_B2,9/21/99,https://doi.org/10.1038/s41598-021-83509-1,Armstrong,
RGI2000-v7.0-G-05-05010,9,0,LE07_L2SP_233017_19990921_20200918_02_T1_SR_B2,9/21/99,https://doi.org/10.1038/s41598-021-83509-1,Armstrong,
RGI2000-v7.0-G-05-05011,9,0,LE07_L2SP_233017_19990921_20200918_02_T1_SR_B2,9/21/99,https://doi.org/10.1038/s41598-021-83509-1,Armstrong,
RGI2000-v7.0-G-05-05012,9,0,LE07_L2SP_233017_19990921_20200918_02_T1_SR_B2,9/21/99,https://doi.org/10.1038/s41598-021-83509-1,Armstrong,
RGI2000-v7.0-G-05-05013,9,0,LE07_L2SP_233017_19990921_20200918_02_T1_SR_B2,9/21/99,https://doi.org/10.1038/s41598-021-83509-1,Armstrong,
RGI2000-v7.0-G-05-05014,9,0,LE07_L2SP_233017_19990921_20200918_02_T1_SR_B2,9/21/99,https://doi.org/10.1038/s41598-021-83509-1,Armstrong,
RGI2000-v7.0-G-05-05015,9,0,LE07_L2SP_233017_19990921_20200918_02_T1_SR_B2,9/21/99,https://doi.org/10.1038/s41598-021-83509-1,Armstrong,
RGI2000-v7.0-G-05-05016,9,0,LE07_L2SP_233017_19990921_20200918_02_T1_SR_B2,9/21/99,https://doi.org/10.1038/s41598-021-83509-1,Armstrong,
RGI2000-v7.0-G-05-05017,9,0,LE07_L2SP_233017_19990921_20200918_02_T1_SR_B2,9/21/99,https://doi.org/10.1038/s41598-021-83509-1,Armstrong,
RGI2000-v7.0-G-05-05018,9,0,LE07_L2SP_233017_19990921_20200918_02_T1_SR_B2,9/21/99,https://doi.org/10.1038/s41598-021-83509-1,Armstrong,
RGI2000-v7.0-G-05-05019,9,0,LE07_L2SP_233017_19990921_20200918_02_T1_SR_B2,9/21/99,https://doi.org/10.1038/s41598-021-83509-1,Armstrong,
RGI2000-v7.0-G-05-05020,9,0,LE07_L2SP_233017_19990921_20200918_02_T1_SR_B2,9/21/99,https://doi.org/10.1038/s41598-021-83509-1,Armstrong,
RGI2000-v7.0-G-05-05021,9,0,LE07_L2SP_233017_19990921_20200918_02_T1_SR_B2,9/21/99,https://doi.org/10.1038/s41598-021-83509-1,Armstrong,
RGI2000-v7.0-G-05-05022,9,0,LE07_L2SP_233017_19990921_20200918_02_T1_SR_B2,9/21/99,https://doi.org/10.1038/s41598-021-83509-1,Armstrong,
RGI2000-v7.0-G-05-05023,9,0,LE07_L2SP_233017_19990921_20200918_02_T1_SR_B2,9/21/99,https://doi.org/10.1038/s41598-021-83509-1,Armstrong,
RGI2000-v7.0-G-05-05024,9,0,LE07_L2SP_233017_19990921_20200918_02_T1_SR_B2,9/21/99,https://doi.org/10.1038/s41598-021-83509-1,Armstrong,
RGI2000-v7.0-G-05-05025,9,0,LE07_L2SP_233017_19990921_20200918_02_T1_SR_B2,9/21/99,https://doi.org/10.1038/s41598-021-83509-1,Armstrong,
RGI2000-v7.0-G-05-05026,9,0,LE07_L2SP_233017_19990921_20200918_02_T1_SR_B2,9/21/99,https://doi.org/10.1038/s41598-021-83509-1,Armstrong,
RGI2000-v7.0-G-05-05027,9,0,LE07_L2SP_233017_19990921_20200918_02_T1_SR_B2,9/21/99,https://doi.org/10.1038/s41598-021-83509-1,Armstrong,
RGI2000-v7.0-G-05-05028,9,0,LE07_L2SP_233017_19990921_20200918_02_T1_SR_B2,9/21/99,https://doi.org/10.1038/s41598-021-83509-1,Armstrong,
RGI2000-v7.0-G-05-05029,9,0,LE07_L2SP_233017_19990921_20200918_02_T1_SR_B2,9/21/99,https://doi.org/10.1038/s41598-021-83509-1,Armstrong,
RGI2000-v7.0-G-05-05035,9,0,LE07_L2SP_233017_19990921_20200918_02_T1_SR_B2,9/21/99,https://doi.org/10.1038/s41598-021-83509-1,Armstrong,
RGI2000-v7.0-G-05-05036,9,0,LE07_L2SP_233017_19990921_20200918_02_T1_SR_B2,9/21/99,https://doi.org/10.1038/s41598-021-83509-1,Armstrong,
RGI2000-v7.0-G-05-05037,9,0,LE07_L2SP_233017_19990921_20200918_02_T1_SR_B2,9/21/99,https://doi.org/10.1038/s41598-021-83509-1,Armstrong,
RGI2000-v7.0-G-05-05038,9,0,LE07_L2SP_233017_19990921_20200918_02_T1_SR_B2,9/21/99,https://doi.org/10.1038/s41598-021-83509-1,Armstrong,
RGI2000-v7.0-G-05-05039,9,0,LE07_L2SP_233017_19990921_20200918_02_T1_SR_B2,9/21/99,https://doi.org/10.1038/s41598-021-83509-1,Armstrong,
RGI2000-v7.0-G-05-05040,9,0,LE07_L2SP_233017_19990921_20200918_02_T1_SR_B2,9/21/99,https://doi.org/10.1038/s41598-021-83509-1,Armstrong,
RGI2000-v7.0-G-05-05041,9,0,LE07_L2SP_233017_19990921_20200918_02_T1_SR_B2,9/21/99,https://doi.org/10.1038/s41598-021-83509-1,Armstrong,
RGI2000-v7.0-G-05-05042,2,0,LE07_L2SP_233017_19990921_20200918_02_T1_SR_B2,9/21/99,https://doi.org/10.1038/s41598-021-83509-1,Armstrong,
RGI2000-v7.0-G-05-05043,9,0,LE07_L2SP_233017_19990921_20200918_02_T1_SR_B2,9/21/99,https://doi.org/10.1038/s41598-021-83509-1,Armstrong,
RGI2000-v7.0-G-05-05044,9,0,LE07_L2SP_233017_19990921_20200918_02_T1_SR_B2,9/21/99,https://doi.org/10.1038/s41598-021-83509-1,Armstrong,
