rgi_id,auto_term,lake_level,image_id,image_date,inventory_doi,contributor,notes
RGI2000-v7.0-G-06-00199,9,3,LE07_L1TP_220014_20000710_20200918_02_T1,2000-07-10,https://doi.org/10.5067/UO20NYM3YQB4,White, 
RGI2000-v7.0-G-06-00200,9,3,LE07_L1TP_220014_20000710_20200918_02_T1,2000-07-10,https://doi.org/10.5067/UO20NYM3YQB4,White, 
RGI2000-v7.0-G-06-00203,2,3,LE07_L1TP_220014_20000710_20200918_02_T1,2000-07-10,https://doi.org/10.5067/UO20NYM3YQB4,White, 
RGI2000-v7.0-G-06-00329,9,3,LE07_L1TP_217014_20000923_20200918_02_T1,2000-09-23,https://doi.org/10.5067/UO20NYM3YQB4,White, 
RGI2000-v7.0-G-06-00330,9,3,LE07_L1TP_217014_20000923_20200918_02_T1,2000-09-23,https://doi.org/10.5067/UO20NYM3YQB4,White, 
RGI2000-v7.0-G-06-00331,2,3,LE07_L1TP_217014_20000923_20200918_02_T1,2000-09-23,https://doi.org/10.5067/UO20NYM3YQB4,White, 
RGI2000-v7.0-G-06-00196,9,0,LE07_L1TP_220014_20000710_20200918_02_T1,2000-07-10,https://doi.org/10.5067/UO20NYM3YQB4,White, 
RGI2000-v7.0-G-06-00197,9,0,LE07_L1TP_220014_20000710_20200918_02_T1,2000-07-10,https://doi.org/10.5067/UO20NYM3YQB4,White, 
RGI2000-v7.0-G-06-00198,9,0,LE07_L1TP_220014_20000710_20200918_02_T1,2000-07-10,https://doi.org/10.5067/UO20NYM3YQB4,White, 
RGI2000-v7.0-G-06-00201,9,0,LE07_L1TP_220014_20000710_20200918_02_T1,2000-07-10,https://doi.org/10.5067/UO20NYM3YQB4,White, 
RGI2000-v7.0-G-06-00202,9,0,LE07_L1TP_220014_20000710_20200918_02_T1,2000-07-10,https://doi.org/10.5067/UO20NYM3YQB4,White, 
RGI2000-v7.0-G-06-00204,9,0,LE07_L1TP_220014_20000710_20200918_02_T1,2000-07-10,https://doi.org/10.5067/UO20NYM3YQB4,White, 
RGI2000-v7.0-G-06-00205,9,0,LE07_L1TP_220014_20000710_20200918_02_T1,2000-07-10,https://doi.org/10.5067/UO20NYM3YQB4,White, 
RGI2000-v7.0-G-06-00206,9,0,LE07_L1TP_220014_20000710_20200918_02_T1,2000-07-10,https://doi.org/10.5067/UO20NYM3YQB4,White, 
RGI2000-v7.0-G-06-00207,9,0,LE07_L1TP_220014_20000710_20200918_02_T1,2000-07-10,https://doi.org/10.5067/UO20NYM3YQB4,White, 
RGI2000-v7.0-G-06-00208,9,0,LE07_L1TP_220014_20000710_20200918_02_T1,2000-07-10,https://doi.org/10.5067/UO20NYM3YQB4,White, 
RGI2000-v7.0-G-06-00507,9,0,LE07_L1TP_220014_20000710_20200918_02_T1,2000-07-10,https://doi.org/10.5067/UO20NYM3YQB4,White, 
RGI2000-v7.0-G-06-00508,9,0,LE07_L1TP_220014_20000710_20200918_02_T1,2000-07-10,https://doi.org/10.5067/UO20NYM3YQB4,White, 
RGI2000-v7.0-G-06-00509,9,0,LE07_L1TP_220014_20000710_20200918_02_T1,2000-07-10,https://doi.org/10.5067/UO20NYM3YQB4,White, 
RGI2000-v7.0-G-06-00510,9,0,LE07_L1TP_220014_20000710_20200918_02_T1,2000-07-10,https://doi.org/10.5067/UO20NYM3YQB4,White, 
RGI2000-v7.0-G-06-00511,9,0,LE07_L1TP_220014_20000710_20200918_02_T1,2000-07-10,https://doi.org/10.5067/UO20NYM3YQB4,White, 
RGI2000-v7.0-G-06-00512,9,0,LE07_L1TP_220014_20000710_20200918_02_T1,2000-07-10,https://doi.org/10.5067/UO20NYM3YQB4,White, 
RGI2000-v7.0-G-06-00513,9,0,LE07_L1TP_220014_20000710_20200918_02_T1,2000-07-10,https://doi.org/10.5067/UO20NYM3YQB4,White, 
RGI2000-v7.0-G-06-00514,9,0,LE07_L1TP_220014_20000710_20200918_02_T1,2000-07-10,https://doi.org/10.5067/UO20NYM3YQB4,White, 
RGI2000-v7.0-G-06-00515,9,0,LE07_L1TP_220014_20000710_20200918_02_T1,2000-07-10,https://doi.org/10.5067/UO20NYM3YQB4,White, 
RGI2000-v7.0-G-06-00516,9,0,LE07_L1TP_220014_20000710_20200918_02_T1,2000-07-10,https://doi.org/10.5067/UO20NYM3YQB4,White, 
RGI2000-v7.0-G-06-00517,9,0,LE07_L1TP_220014_20000710_20200918_02_T1,2000-07-10,https://doi.org/10.5067/UO20NYM3YQB4,White, 
RGI2000-v7.0-G-06-00518,9,0,LE07_L1TP_220014_20000710_20200918_02_T1,2000-07-10,https://doi.org/10.5067/UO20NYM3YQB4,White, 
RGI2000-v7.0-G-06-00519,9,0,LE07_L1TP_220014_20000710_20200918_02_T1,2000-07-10,https://doi.org/10.5067/UO20NYM3YQB4,White, 
RGI2000-v7.0-G-06-00520,9,0,LE07_L1TP_220014_20000710_20200918_02_T1,2000-07-10,https://doi.org/10.5067/UO20NYM3YQB4,White, 
RGI2000-v7.0-G-06-00328,9,0,LE07_L1TP_217014_20000923_20200918_02_T1,2000-09-23,https://doi.org/10.5067/UO20NYM3YQB4,White, 
RGI2000-v7.0-G-06-00001,9,0,LE07_L1TP_221014_20011008_20210520_02_T1,2001-10-08,https://doi.org/10.5067/UO20NYM3YQB4,White, 
RGI2000-v7.0-G-06-00002,9,0,LE07_L1TP_221014_20011008_20210520_02_T1,2001-10-08,https://doi.org/10.5067/UO20NYM3YQB4,White, 
RGI2000-v7.0-G-06-00003,9,0,LE07_L1TP_221014_20011008_20210520_02_T1,2001-10-08,https://doi.org/10.5067/UO20NYM3YQB4,White, 
RGI2000-v7.0-G-06-00004,9,0,LE07_L1TP_221014_20011008_20210520_02_T1,2001-10-08,https://doi.org/10.5067/UO20NYM3YQB4,White, 
RGI2000-v7.0-G-06-00005,9,0,LE07_L1TP_221014_20011008_20210520_02_T1,2001-10-08,https://doi.org/10.5067/UO20NYM3YQB4,White, 
RGI2000-v7.0-G-06-00006,9,0,LE07_L1TP_221014_20011008_20210520_02_T1,2001-10-08,https://doi.org/10.5067/UO20NYM3YQB4,White, 
RGI2000-v7.0-G-06-00007,9,0,LE07_L1TP_221014_20011008_20210520_02_T1,2001-10-08,https://doi.org/10.5067/UO20NYM3YQB4,White, 
RGI2000-v7.0-G-06-00008,9,0,LE07_L1TP_221014_20011008_20210520_02_T1,2001-10-08,https://doi.org/10.5067/UO20NYM3YQB4,White, 
