rgi_id,auto_term,lake_cat,image_id,image_date,inventory_doi,contributor,notes
RGI2000-v7.0-G-06-00001,9,0,LE07_L1TP_221015_20011008_20210520_02_T1,2001-10-08,https://doi.org/10.5067/UO20NYM3YQB4,"03,26",
RGI2000-v7.0-G-06-00002,9,0,LE07_L1TP_221015_20011008_20210520_02_T1,2001-10-08,https://doi.org/10.5067/UO20NYM3YQB4,"03,26",
RGI2000-v7.0-G-06-00003,9,0,LE07_L1TP_221015_20011008_20210520_02_T1,2001-10-08,https://doi.org/10.5067/UO20NYM3YQB4,"03,26",
RGI2000-v7.0-G-06-00004,9,0,LE07_L1TP_221015_20011008_20210520_02_T1,2001-10-08,https://doi.org/10.5067/UO20NYM3YQB4,"03,26",
RGI2000-v7.0-G-06-00005,9,0,LE07_L1TP_221015_20011008_20210520_02_T1,2001-10-08,https://doi.org/10.5067/UO20NYM3YQB4,"03,26",
RGI2000-v7.0-G-06-00006,9,0,LE07_L1TP_221015_20011008_20210520_02_T1,2001-10-08,https://doi.org/10.5067/UO20NYM3YQB4,"03,26",
RGI2000-v7.0-G-06-00007,9,0,LE07_L1TP_221015_20011008_20210520_02_T1,2001-10-08,https://doi.org/10.5067/UO20NYM3YQB4,"03,26",
RGI2000-v7.0-G-06-00008,9,0,LE07_L1TP_221015_20011008_20210520_02_T1,2001-10-08,https://doi.org/10.5067/UO20NYM3YQB4,"03,26",
RGI2000-v7.0-G-06-00009,9,0,LE07_L1TP_222014_20000910_20200918_02_T1,2000-09-10,https://doi.org/10.5067/UO20NYM3YQB4,03,
RGI2000-v7.0-G-06-00010,9,0,LE07_L1TP_222014_20000910_20200918_02_T1,2000-09-10,https://doi.org/10.5067/UO20NYM3YQB4,03,
RGI2000-v7.0-G-06-00011,9,0,LE07_L1TP_222014_20000910_20200918_02_T1,2000-09-10,https://doi.org/10.5067/UO20NYM3YQB4,03,
RGI2000-v7.0-G-06-00012,9,0,LE07_L1TP_222014_20000910_20200918_02_T1,2000-09-10,https://doi.org/10.5067/UO20NYM3YQB4,03,
RGI2000-v7.0-G-06-00013,9,0,LE07_L1TP_222014_20000910_20200918_02_T1,2000-09-10,https://doi.org/10.5067/UO20NYM3YQB4,03,
RGI2000-v7.0-G-06-00014,9,0,LE07_L1TP_222014_20000910_20200918_02_T1,2000-09-10,https://doi.org/10.5067/UO20NYM3YQB4,03,
RGI2000-v7.0-G-06-00015,9,0,LE07_L1TP_222014_20000910_20200918_02_T1,2000-09-10,https://doi.org/10.5067/UO20NYM3YQB4,03,
RGI2000-v7.0-G-06-00016,9,0,LE07_L1TP_222014_20000910_20200918_02_T1,2000-09-10,https://doi.org/10.5067/UO20NYM3YQB4,03,
RGI2000-v7.0-G-06-00017,9,0,LE07_L1TP_222014_20000910_20200918_02_T1,2000-09-10,https://doi.org/10.5067/UO20NYM3YQB4,03,
RGI2000-v7.0-G-06-00018,9,0,LE07_L1TP_222014_20000910_20200918_02_T1,2000-09-10,https://doi.org/10.5067/UO20NYM3YQB4,03,
RGI2000-v7.0-G-06-00019,9,0,LE07_L1TP_222014_20000910_20200918_02_T1,2000-09-10,https://doi.org/10.5067/UO20NYM3YQB4,03,
RGI2000-v7.0-G-06-00020,9,0,LE07_L1TP_222014_20000910_20200918_02_T1,2000-09-10,https://doi.org/10.5067/UO20NYM3YQB4,03,
RGI2000-v7.0-G-06-00021,9,0,LE07_L1TP_222014_20000910_20200918_02_T1,2000-09-10,https://doi.org/10.5067/UO20NYM3YQB4,03,
RGI2000-v7.0-G-06-00022,9,0,LE07_L1TP_219014_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,03,
RGI2000-v7.0-G-06-00023,9,0,LE07_L1TP_219014_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,03,
RGI2000-v7.0-G-06-00024,9,0,LE07_L1TP_219014_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,03,
RGI2000-v7.0-G-06-00025,9,0,LE07_L1TP_219014_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,03,
RGI2000-v7.0-G-06-00026,9,0,LE07_L1TP_219014_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,03,
RGI2000-v7.0-G-06-00027,9,0,LE07_L1TP_219014_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,03,
RGI2000-v7.0-G-06-00028,9,0,LE07_L1TP_219014_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,03,
RGI2000-v7.0-G-06-00029,9,0,LE07_L1TP_219014_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,03,
RGI2000-v7.0-G-06-00030,9,0,LE07_L1TP_219014_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,03,
RGI2000-v7.0-G-06-00031,9,0,LE07_L1TP_219014_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,03,
RGI2000-v7.0-G-06-00032,9,0,LE07_L1TP_219014_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,03,
RGI2000-v7.0-G-06-00033,9,0,LE07_L1TP_219014_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,03,
RGI2000-v7.0-G-06-00034,9,0,LE07_L1TP_219014_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,03,
RGI2000-v7.0-G-06-00035,9,0,LE07_L1TP_219014_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,03,
RGI2000-v7.0-G-06-00036,9,0,LE07_L1TP_219014_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,03,
RGI2000-v7.0-G-06-00037,9,0,LE07_L1TP_219014_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,03,
RGI2000-v7.0-G-06-00038,9,0,LE07_L1TP_219014_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,03,
RGI2000-v7.0-G-06-00039,9,0,LE07_L1TP_219014_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,03,
RGI2000-v7.0-G-06-00040,9,0,LE07_L1TP_219014_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,03,
RGI2000-v7.0-G-06-00041,9,0,LE07_L1TP_219014_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,03,
RGI2000-v7.0-G-06-00042,9,0,LE07_L1TP_219014_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,03,
RGI2000-v7.0-G-06-00043,9,0,LE07_L1TP_219014_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,03,
