rgi_id,auto_term,lake_level,image_id,image_date,inventory_doi,contributor,notes
RGI2000-v7.0-G-06-00196,9,0,LE07_L1TP_219014_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00197,9,0,LE07_L1TP_219014_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00198,9,3,LE07_L1TP_219014_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00199,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00200,9,3,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00201,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00202,9,2,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00203,2,3,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00204,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00205,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00206,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00207,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00208,9,0,LE07_L1TP_219014_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00452,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00453,2,2,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00454,2,1,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00455,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00456,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00457,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00458,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00459,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00460,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00461,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00462,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00463,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00464,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00465,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00466,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00467,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00468,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00469,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00470,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00471,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00472,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00473,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00474,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00475,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00476,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00477,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00478,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00479,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00480,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00481,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00482,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00483,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00484,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00485,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00486,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00487,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00488,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00489,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00490,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00491,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00492,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00493,2,2,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00494,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00495,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00496,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00497,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00498,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00499,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00500,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00501,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00502,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00503,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00504,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00505,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00506,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00507,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00508,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00509,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00510,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00511,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00512,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00513,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00514,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00515,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00516,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00517,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00518,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00519,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00520,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
RGI2000-v7.0-G-06-00521,9,0,LE07_L1TP_219015_20000820_20200918_02_T1,2000-08-20,https://doi.org/10.5067/UO20NYM3YQB4,Baurley,
