rgi_id,auto_term,lake_cat,image_id,image_date,inventory_doi,contributor,notes
RGI2000-v7.0-G-07-01423,9,0,LE07_L1TP_209004_19990727_20200918_02_T1,1999-07-27,https://doi.org/10.1017/jog.2023.34,Gunjan Joshi,
RGI2000-v7.0-G-07-01424,9,0,LE07_L1TP_209004_19990727_20200918_02_T1,1999-07-27,https://doi.org/10.1017/jog.2023.34,Gunjan Joshi,
RGI2000-v7.0-G-07-01425,9,0,LE07_L1TP_209004_19990727_20200918_02_T1,1999-07-27,https://doi.org/10.1017/jog.2023.34,Gunjan Joshi,
RGI2000-v7.0-G-07-01426,9,0,LE07_L1TP_209004_19990727_20200918_02_T1,1999-07-27,https://doi.org/10.1017/jog.2023.34,Gunjan Joshi,
RGI2000-v7.0-G-07-01427,9,0,LE07_L1TP_209004_19990727_20200918_02_T1,1999-07-27,https://doi.org/10.1017/jog.2023.34,Gunjan Joshi,
RGI2000-v7.0-G-07-01428,9,0,LE07_L1TP_209004_19990727_20200918_02_T1,1999-07-27,https://doi.org/10.1017/jog.2023.34,Gunjan Joshi,
RGI2000-v7.0-G-07-01429,9,0,LE07_L1TP_209004_19990727_20200918_02_T1,1999-07-27,https://doi.org/10.1017/jog.2023.34,Gunjan Joshi,
RGI2000-v7.0-G-07-01430,9,1,LE07_L1TP_210004_19990920_20200918_02_T1,1999-09-20,https://doi.org/10.1017/jog.2023.34,Gunjan Joshi,"this one is difficult, because the complex is poorly divided – maybe 3 given that it’s only one terminus?"
RGI2000-v7.0-G-07-01431,9,0,LE07_L1TP_209004_19990727_20200918_02_T1,1999-07-27,https://doi.org/10.1017/jog.2023.34,Gunjan Joshi,
RGI2000-v7.0-G-07-01432,9,0,LE07_L1TP_209004_19990727_20200918_02_T1,1999-07-27,https://doi.org/10.1017/jog.2023.34,Gunjan Joshi,
RGI2000-v7.0-G-07-01433,9,0,LE07_L1TP_209004_19990727_20200918_02_T1,1999-07-27,https://doi.org/10.1017/jog.2023.34,Gunjan Joshi,
RGI2000-v7.0-G-07-01434,9,0,LE07_L1TP_209004_19990727_20200918_02_T1,1999-07-27,https://doi.org/10.1017/jog.2023.34,Gunjan Joshi,
RGI2000-v7.0-G-07-01435,9,0,LE07_L1TP_209004_19990727_20200918_02_T1,1999-07-27,https://doi.org/10.1017/jog.2023.34,Gunjan Joshi,
RGI2000-v7.0-G-07-01436,9,0,LE07_L1TP_209004_19990727_20200918_02_T1,1999-07-27,https://doi.org/10.1017/jog.2023.34,Gunjan Joshi,
RGI2000-v7.0-G-07-01437,9,0,LE07_L1TP_209004_19990727_20200918_02_T1,1999-07-27,https://doi.org/10.1017/jog.2023.34,Gunjan Joshi,
RGI2000-v7.0-G-07-01438,9,0,LE07_L1TP_209004_19990727_20200918_02_T1,1999-07-27,https://doi.org/10.1017/jog.2023.34,Gunjan Joshi,
RGI2000-v7.0-G-07-01439,9,0,LE07_L1TP_209004_19990727_20200918_02_T1,1999-07-27,https://doi.org/10.1017/jog.2023.34,Gunjan Joshi,
RGI2000-v7.0-G-07-01440,9,0,LE07_L1TP_209004_19990727_20200918_02_T1,1999-07-27,https://doi.org/10.1017/jog.2023.34,Gunjan Joshi,
