rgi_id,term_type,lake_cat,image_id,image_date,inventory_doi,contributor,notes
RGI2000-v7.0-G-08-00001,9,0,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-00002,9,0,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-00003,9,0,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-00004,9,0,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-00005,9,0,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-00006,9,0,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-00007,9,0,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-00008,9,0,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-00009,9,3,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-00010,9,0,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-00011,9,0,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-00012,9,0,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-00013,9,0,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-00014,9,0,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-00015,9,3,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-00016,9,0,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-00017,9,0,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-00018,9,0,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-00019,9,0,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-00020,9,0,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-00021,9,0,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-00022,9,0,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-00023,9,0,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-00024,9,0,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-00025,9,0,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-00026,9,0,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-00027,9,0,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-00028,9,0,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-00029,9,0,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-00030,9,0,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-00031,9,0,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-00032,9,0,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-00033,9,0,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-00034,9,0,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-00035,9,0,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-00036,9,0,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-00037,9,0,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-00038,9,2,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-00039,9,0,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-00040,9,0,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-00041,9,0,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-00042,9,0,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-00043,9,0,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-00044,9,0,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-00045,9,0,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-00046,2,2,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-00047,9,0,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-00048,9,0,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-00049,9,0,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-00050,9,0,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,McNabb,
RGI2000-v7.0-G-08-00051,9,0,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,McNabb,
