rgi_id,auto_term,lake_level,image_id,image_date,inventory_doi,contributor,notes
RGI2000-v7.0-G-08-00001,,0,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,15,
RGI2000-v7.0-G-08-00002,,0,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,15,
RGI2000-v7.0-G-08-00003,,0,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,15,
RGI2000-v7.0-G-08-00004,,0,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,15,
RGI2000-v7.0-G-08-00005,,0,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,15,
RGI2000-v7.0-G-08-00006,,0,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,15,
RGI2000-v7.0-G-08-00007,,0,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,15,
RGI2000-v7.0-G-08-00008,,0,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,15,
RGI2000-v7.0-G-08-00009,,1,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,15,
RGI2000-v7.0-G-08-00010,,0,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,15,
RGI2000-v7.0-G-08-00011,,0,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,15,
RGI2000-v7.0-G-08-00012,,0,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,15,
RGI2000-v7.0-G-08-00013,,0,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,15,
RGI2000-v7.0-G-08-00014,,0,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,15,
RGI2000-v7.0-G-08-00015,,1,LE07_L1TP_199014_19990907_20200918_02_T1,1999-09-07,https://hdl.handle.net/11250/2828423,15,
