rgi_id,auto_term,lake_cat,image_id,image_date,inventory_doi,contributor,notes
RGI2000-v7.0-G-09-00001,,0.0,LE07_L1GT_205002_20000802_20200918_02_T2,2000-08-02,,"28,12",
RGI2000-v7.0-G-09-00002,,0.0,LE07_L1TP_196248_20010721_20200917_02_T1,2001-07-21,,"28,12",
RGI2000-v7.0-G-09-00003,,0.0,LE07_L1TP_196248_20010721_20200917_02_T1,2001-07-21,,"28,12",
RGI2000-v7.0-G-09-00004,,0.0,LE07_L1TP_196248_20010721_20200917_02_T1,2001-07-21,,"28,12",
RGI2000-v7.0-G-09-00005,,0.0,LE07_L1TP_196248_20010721_20200917_02_T1,2001-07-21,,"28,12",
RGI2000-v7.0-G-09-00006,,0.0,LE07_L1TP_196248_20010721_20200917_02_T1,2001-07-21,,"28,12",
RGI2000-v7.0-G-09-00007,,0.0,LE07_L1TP_196248_20010721_20200917_02_T1,2001-07-21,,"28,12",
RGI2000-v7.0-G-09-00008,,0.0,LE07_L1TP_196248_20010721_20200917_02_T1,2001-07-21,,"28,12",
RGI2000-v7.0-G-09-00009,,0.0,LE07_L1TP_196248_20010721_20200917_02_T1,2001-07-21,,"28,12",
RGI2000-v7.0-G-09-00010,,0.0,LE07_L1TP_196248_20010721_20200917_02_T1,2001-07-21,,"28,12",
RGI2000-v7.0-G-09-00011,,0.0,LE07_L1TP_196248_20010721_20200917_02_T1,2001-07-21,,"28,12",
RGI2000-v7.0-G-09-00012,,0.0,LE07_L1TP_196248_20010721_20200917_02_T1,2001-07-21,,"28,12",
RGI2000-v7.0-G-09-00013,,0.0,LE07_L1TP_196248_20010721_20200917_02_T1,2001-07-21,,"28,12",
RGI2000-v7.0-G-09-00014,,0.0,LE07_L1TP_196248_20010721_20200917_02_T1,2001-07-21,,"28,12",
RGI2000-v7.0-G-09-00015,,0.0,LE07_L1TP_198002_20000817_20200917_02_T1,2000-08-17,,"28,12",
RGI2000-v7.0-G-09-00016,,0.0,LE07_L1TP_198002_20000817_20200917_02_T1,2000-08-17,,"28,12",
RGI2000-v7.0-G-09-00017,,0.0,LE07_L1TP_198002_20000817_20200917_02_T1,2000-08-17,,"28,12",
RGI2000-v7.0-G-09-00018,,0.0,LE07_L1TP_198002_20000817_20200917_02_T1,2000-08-17,,"28,12",
RGI2000-v7.0-G-09-00019,,0.0,LE07_L1TP_198002_20000817_20200917_02_T1,2000-08-17,,"28,12",
RGI2000-v7.0-G-09-00020,,0.0,LE07_L1TP_198002_20000817_20200917_02_T1,2000-08-17,,"28,12",
RGI2000-v7.0-G-09-00021,,0.0,LE07_L1TP_198002_20000817_20200917_02_T1,2000-08-17,,"28,12",
