rgi_id,lake_cat,image_id,image_date,inventory_doi,contributor,Note
RGI2000-v7.0-G-10-00162,0,LE07_L1TP_153011_20010809_20200917_02_T1,2001-08-09,,Kutuzov,
RGI2000-v7.0-G-10-00163,0,LE07_L1TP_153011_20010809_20200917_02_T1,2001-08-09,,Kutuzov,
RGI2000-v7.0-G-10-00164,0,LE07_L1TP_153011_20010809_20200917_02_T1,2001-08-09,,Kutuzov,
RGI2000-v7.0-G-10-00165,0,LE07_L1TP_153011_20010809_20200917_02_T1,2001-08-09,,Kutuzov,
RGI2000-v7.0-G-10-00166,0,LE07_L1TP_153011_20010809_20200917_02_T1,2001-08-09,,Kutuzov,
RGI2000-v7.0-G-10-00167,0,LE07_L1TP_153011_20010809_20200917_02_T1,2001-08-09,,Kutuzov,
RGI2000-v7.0-G-10-00168,0,LE07_L1TP_153011_20010809_20200917_02_T1,2001-08-09,,Kutuzov,
RGI2000-v7.0-G-10-00169,0,LE07_L1TP_153011_20010809_20200917_02_T1,2001-08-09,,Kutuzov,
RGI2000-v7.0-G-10-00170,0,LE07_L1TP_153011_20010809_20200917_02_T1,2001-08-09,,Kutuzov,
RGI2000-v7.0-G-10-00171,0,LE07_L1TP_153011_20010809_20200917_02_T1,2001-08-09,,Kutuzov,
RGI2000-v7.0-G-10-00172,0,LE07_L1TP_153011_20010809_20200917_02_T1,2001-08-09,,Kutuzov,
RGI2000-v7.0-G-10-00173,0,LE07_L1TP_153011_20010809_20200917_02_T1,2001-08-09,,Kutuzov,
RGI2000-v7.0-G-10-00174,0,LE07_L1TP_153011_20010809_20200917_02_T1,2001-08-09,,Kutuzov,
RGI2000-v7.0-G-10-00175,0,LE07_L1TP_153011_20010809_20200917_02_T1,2001-08-09,,Kutuzov,
RGI2000-v7.0-G-10-00176,0,LE07_L1TP_153011_20010809_20200917_02_T1,2001-08-09,,Kutuzov,
RGI2000-v7.0-G-10-00177,0,LE07_L1TP_153011_20010809_20200917_02_T1,2001-08-09,,Kutuzov,
RGI2000-v7.0-G-10-00178,0,LE07_L1TP_153011_20010809_20200917_02_T1,2001-08-09,,Kutuzov,
RGI2000-v7.0-G-10-00179,0,LE07_L1TP_153011_20010809_20200917_02_T1,2001-08-09,,Kutuzov,
RGI2000-v7.0-G-10-00180,0,LE07_L1TP_153011_20010809_20200917_02_T1,2001-08-09,,Kutuzov,
RGI2000-v7.0-G-10-00181,0,LE07_L1TP_151011_19990806_20200918_02_T1,1999-08-06,,Kutuzov,
RGI2000-v7.0-G-10-00182,0,LE07_L1TP_151011_19990806_20200918_02_T1,1999-08-06,,Kutuzov,
RGI2000-v7.0-G-10-00183,0,LE07_L1TP_151011_19990806_20200918_02_T1,1999-08-06,,Kutuzov,
RGI2000-v7.0-G-10-00184,0,LE07_L1TP_151011_19990806_20200918_02_T1,1999-08-06,,Kutuzov,
RGI2000-v7.0-G-10-00185,0,LE07_L1TP_151011_19990806_20200918_02_T1,1999-08-06,,Kutuzov,
RGI2000-v7.0-G-10-00186,0,LE07_L1TP_151011_19990806_20200918_02_T1,1999-08-06,,Kutuzov,
RGI2000-v7.0-G-10-00187,0,LE07_L1TP_151011_19990806_20200918_02_T1,1999-08-06,,Kutuzov,
RGI2000-v7.0-G-10-00188,0,LE07_L1TP_151011_19990806_20200918_02_T1,1999-08-06,,Kutuzov,
RGI2000-v7.0-G-10-00189,0,LE07_L1TP_151011_19990806_20200918_02_T1,1999-08-06,,Kutuzov,
RGI2000-v7.0-G-10-00190,0,LE07_L1TP_151011_19990806_20200918_02_T1,1999-08-06,,Kutuzov,
RGI2000-v7.0-G-10-00191,0,LE07_L1TP_151011_19990806_20200918_02_T1,1999-08-06,,Kutuzov,
RGI2000-v7.0-G-10-00192,0,LE07_L1TP_151011_19990806_20200918_02_T1,1999-08-06,,Kutuzov,
RGI2000-v7.0-G-10-00193,0,LE07_L1TP_151011_19990806_20200918_02_T1,1999-08-06,,Kutuzov,
RGI2000-v7.0-G-10-00194,1,LE07_L1TP_151011_19990806_20200918_02_T1,1999-08-06,,Kutuzov,
RGI2000-v7.0-G-10-00195,0,LE07_L1TP_151011_19990806_20200918_02_T1,1999-08-06,,Kutuzov,
RGI2000-v7.0-G-10-00196,0,LE07_L1TP_151011_19990806_20200918_02_T1,1999-08-06,,Kutuzov,
RGI2000-v7.0-G-10-00197,0,LE07_L1TP_151011_19990806_20200918_02_T1,1999-08-06,,Kutuzov,
RGI2000-v7.0-G-10-00198,0,LE07_L1TP_151011_19990806_20200918_02_T1,1999-08-06,,Kutuzov,
RGI2000-v7.0-G-10-00199,0,LE07_L1TP_151011_19990806_20200918_02_T1,1999-08-06,,Kutuzov,
RGI2000-v7.0-G-10-00200,0,LE07_L1TP_151011_19990806_20200918_02_T1,1999-08-06,,Kutuzov,
RGI2000-v7.0-G-10-00201,0,LE07_L1TP_151011_19990806_20200918_02_T1,1999-08-06,,Kutuzov,
RGI2000-v7.0-G-10-00202,0,LE07_L1TP_151011_19990806_20200918_02_T1,1999-08-06,,Kutuzov,
RGI2000-v7.0-G-10-00203,0,LE07_L1TP_151011_19990806_20200918_02_T1,1999-08-06,,Kutuzov,
RGI2000-v7.0-G-10-00204,0,LE07_L1TP_151011_19990806_20200918_02_T1,1999-08-06,,Kutuzov,
RGI2000-v7.0-G-10-00205,0,LE07_L1TP_151011_19990806_20200918_02_T1,1999-08-06,,Kutuzov,
RGI2000-v7.0-G-10-00206,0,LE07_L1TP_151011_19990806_20200918_02_T1,1999-08-06,,Kutuzov,
RGI2000-v7.0-G-10-00207,0,LE07_L1TP_151011_19990806_20200918_02_T1,1999-08-06,,Kutuzov,
RGI2000-v7.0-G-10-00208,0,LE07_L1TP_151011_19990806_20200918_02_T1,1999-08-06,,Kutuzov,
RGI2000-v7.0-G-10-00209,0,LE07_L1TP_151011_19990806_20200918_02_T1,1999-08-06,,Kutuzov,
RGI2000-v7.0-G-10-00210,0,LE07_L1TP_151011_19990806_20200918_02_T1,1999-08-06,,Kutuzov,
RGI2000-v7.0-G-10-00211,0,LE07_L1TP_151011_19990806_20200918_02_T1,1999-08-06,,Kutuzov,
RGI2000-v7.0-G-10-00212,0,LE07_L1TP_151011_19990806_20200918_02_T1,1999-08-06,,Kutuzov,
RGI2000-v7.0-G-10-00213,0,LE07_L1TP_151011_19990806_20200918_02_T1,1999-08-06,,Kutuzov,
RGI2000-v7.0-G-10-00214,0,LE07_L1TP_151011_19990806_20200918_02_T1,1999-08-06,,Kutuzov,
RGI2000-v7.0-G-10-00215,0,LE07_L1TP_151011_19990806_20200918_02_T1,1999-08-06,,Kutuzov,
RGI2000-v7.0-G-10-00216,0,LE07_L1TP_151011_19990806_20200918_02_T1,1999-08-06,,Kutuzov,
RGI2000-v7.0-G-10-00217,0,LE07_L1TP_151011_19990806_20200918_02_T1,1999-08-06,,Kutuzov,
RGI2000-v7.0-G-10-00218,0,LE07_L1TP_151011_19990806_20200918_02_T1,1999-08-06,,Kutuzov,
RGI2000-v7.0-G-10-00219,0,LE07_L1TP_151011_19990806_20200918_02_T1,1999-08-06,,Kutuzov,
RGI2000-v7.0-G-10-00220,0,LE07_L1TP_151011_19990806_20200918_02_T1,1999-08-06,,Kutuzov,
RGI2000-v7.0-G-10-00221,0,LE07_L1TP_151011_19990806_20200918_02_T1,1999-08-06,,Kutuzov,
RGI2000-v7.0-G-10-00222,0,LE07_L1TP_151011_19990806_20200918_02_T1,1999-08-06,,Kutuzov,
RGI2000-v7.0-G-10-00223,0,LE07_L1TP_153011_19990921_20200918_02_T1,1999-09-21,,Kutuzov,
RGI2000-v7.0-G-10-00224,0,LE07_L1TP_153011_19990921_20200918_02_T1,1999-09-21,,Kutuzov,
RGI2000-v7.0-G-10-00225,0,LE07_L1TP_153011_19990921_20200918_02_T1,1999-09-21,,Kutuzov,
RGI2000-v7.0-G-10-00226,0,LE07_L1TP_153011_19990921_20200918_02_T1,1999-09-21,,Kutuzov,
RGI2000-v7.0-G-10-00227,0,LE07_L1TP_148011_20000803_20200918_02_T1,2000-08-03,,Kutuzov,
RGI2000-v7.0-G-10-00228,0,LE07_L1TP_148011_20000803_20200918_02_T1,2000-08-03,,Kutuzov,
RGI2000-v7.0-G-10-00229,0,LE07_L1TP_148011_20000803_20200918_02_T1,2000-08-03,,Kutuzov,
RGI2000-v7.0-G-10-00230,0,LE07_L1TP_148011_20000803_20200918_02_T1,2000-08-03,,Kutuzov,
RGI2000-v7.0-G-10-00231,0,LE07_L1TP_148011_20000803_20200918_02_T1,2000-08-03,,Kutuzov,
RGI2000-v7.0-G-10-00232,0,LE07_L1TP_148011_20000803_20200918_02_T1,2000-08-03,,Kutuzov,
RGI2000-v7.0-G-10-00233,0,LE07_L1TP_148011_20000803_20200918_02_T1,2000-08-03,,Kutuzov,
RGI2000-v7.0-G-10-00234,0,LE07_L1TP_148011_20000803_20200918_02_T1,2000-08-03,,Kutuzov,not a glacier
RGI2000-v7.0-G-10-00235,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00236,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00237,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00238,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00239,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00240,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00241,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00242,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00243,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00244,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00245,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00246,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00247,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00248,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00249,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00250,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00251,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00252,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00253,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00254,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00255,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00256,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00257,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00258,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00259,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00260,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00261,1,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00262,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00263,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00264,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00265,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00266,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00267,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00268,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00269,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00270,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00271,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00272,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00273,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00274,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00275,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00276,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00277,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00278,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00279,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00280,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00281,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00282,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00283,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00284,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00285,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00286,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00287,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00288,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00289,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00290,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00291,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00292,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00293,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00294,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00295,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00296,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00297,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00298,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00299,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00300,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00301,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00302,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00303,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00304,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00305,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00306,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00307,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00308,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00309,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00310,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
RGI2000-v7.0-G-10-00311,0,LE07_L1TP_146006_20000821_20200917_02_T1,2000-08-21,,Kutuzov,
