rgi_id,auto_term,lake_level,image_id,image_date,inventory_doi,contributor,notes
RGI2000-v7.0-G-10-00001,,0,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00002,,3,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00003,,3,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00004,,0,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00005,,0,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00006,,0,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,not a glacier
RGI2000-v7.0-G-10-00007,,0,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00008,,0,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00009,,0,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,not a glacier
RGI2000-v7.0-G-10-00010,,3,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00011,,0,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00012,,0,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00013,,1,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00014,,1,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00015,,0,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00016,,0,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00017,,3,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00018,,2,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00019,,0,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00020,,2,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00021,,0,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,not a glacier
RGI2000-v7.0-G-10-00022,,0,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00023,,0,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00024,,0,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00025,,3,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00026,,0,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00027,,0,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00028,,0,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00029,,0,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
RGI2000-v7.0-G-10-00030,,0,LE07_L2SP_168015_20000714_20200918_02_T1,2000-07-14,,Kutuzov,
