rgi_id,auto_term,lake_level,image_id,image_date,inventory_doi,contributor,notes
RGI2000-v7.0-G-11-00001,,0,LE07_L1TP_196029_20000702_20211119_02_T1,2000-07-02,PAPROG - GLG 2022,19,
RGI2000-v7.0-G-11-00002,,0,LE07_L1TP_196029_20000702_20211119_02_T1,2000-07-02,PAPROG - GLG 2022,19,
RGI2000-v7.0-G-11-00003,,0,LE07_L1TP_196029_20000702_20211119_02_T1,2000-07-02,PAPROG - GLG 2022,19,
RGI2000-v7.0-G-11-00004,,0,LE07_L1TP_196029_20000702_20211119_02_T1,2000-07-02,PAPROG - GLG 2022,19,
RGI2000-v7.0-G-11-00005,,0,LE07_L1TP_196029_20000702_20211119_02_T1,2000-07-02,PAPROG - GLG 2022,19,
RGI2000-v7.0-G-11-00006,,0,LE07_L1TP_196029_20000702_20211119_02_T1,2000-07-02,PAPROG - GLG 2022,19,
RGI2000-v7.0-G-11-00007,,0,LE07_L1TP_196029_20000702_20211119_02_T1,2000-07-02,PAPROG - GLG 2022,19,
RGI2000-v7.0-G-11-00008,,0,LE07_L1TP_196029_20000702_20211119_02_T1,2000-07-02,PAPROG - GLG 2022,19,
RGI2000-v7.0-G-11-00009,,0,LE07_L1TP_196029_20000702_20211119_02_T1,2000-07-02,PAPROG - GLG 2022,19,
RGI2000-v7.0-G-11-00010,,0,LE07_L1TP_196029_20000702_20211119_02_T1,2000-07-02,PAPROG - GLG 2022,19,
RGI2000-v7.0-G-11-00011,,0,LE07_L1TP_196029_20000702_20211119_02_T1,2000-07-02,PAPROG - GLG 2022,19,
RGI2000-v7.0-G-11-00012,,0,LE07_L1TP_196029_20000702_20211119_02_T1,2000-07-02,PAPROG - GLG 2022,19,
RGI2000-v7.0-G-11-00013,,0,LE07_L1TP_196029_20000702_20211119_02_T1,2000-07-02,PAPROG - GLG 2022,19,
RGI2000-v7.0-G-11-00014,,0,LE07_L1TP_196029_20000702_20211119_02_T1,2000-07-02,PAPROG - GLG 2022,19,
RGI2000-v7.0-G-11-00015,,0,LE07_L1TP_196029_20000702_20211119_02_T1,2000-07-02,PAPROG - GLG 2022,19,
RGI2000-v7.0-G-11-00016,,0,LE07_L1TP_196029_20000702_20211119_02_T1,2000-07-02,PAPROG - GLG 2022,19,
RGI2000-v7.0-G-11-00017,,0,LE07_L1TP_196029_20000702_20211119_02_T1,2000-07-02,PAPROG - GLG 2022,19,
RGI2000-v7.0-G-11-00018,,0,LE07_L1TP_196029_20000702_20211119_02_T1,2000-07-02,PAPROG - GLG 2022,19,
RGI2000-v7.0-G-11-00019,,0,LE07_L1TP_196029_20000702_20211119_02_T1,2000-07-02,PAPROG - GLG 2022,19,
RGI2000-v7.0-G-11-00020,,0,LE07_L1TP_196029_20000702_20211119_02_T1,2000-07-02,PAPROG - GLG 2022,19,
RGI2000-v7.0-G-11-00021,,0,LE07_L1TP_196029_20000702_20211119_02_T1,2000-07-02,PAPROG - GLG 2022,19,
RGI2000-v7.0-G-11-00022,,0,LE07_L1TP_196029_20000702_20211119_02_T1,2000-07-02,PAPROG - GLG 2022,19,
RGI2000-v7.0-G-11-00023,,0,LE07_L1TP_196029_20000702_20211119_02_T1,2000-07-02,PAPROG - GLG 2022,19,
RGI2000-v7.0-G-11-00024,,0,LE07_L1TP_196029_20000702_20211119_02_T1,2000-07-02,PAPROG - GLG 2022,19,
RGI2000-v7.0-G-11-00025,,0,LE07_L1TP_196029_20000702_20211119_02_T1,2000-07-02,PAPROG - GLG 2022,19,
RGI2000-v7.0-G-11-00026,,0,LE07_L1TP_196029_20000702_20211119_02_T1,2000-07-02,PAPROG - GLG 2022,19,
RGI2000-v7.0-G-11-00027,,0,LE07_L1TP_196029_20000702_20211119_02_T1,2000-07-02,PAPROG - GLG 2022,19,
RGI2000-v7.0-G-11-00028,,0,LE07_L1TP_196029_20000702_20211119_02_T1,2000-07-02,PAPROG - GLG 2022,19,
RGI2000-v7.0-G-11-00029,,0,LE07_L1TP_196029_20000702_20211119_02_T1,2000-07-02,PAPROG - GLG 2022,19,
RGI2000-v7.0-G-11-00030,,0,LE07_L1TP_196029_20000702_20211119_02_T1,2000-07-02,PAPROG - GLG 2022,19,
RGI2000-v7.0-G-11-00031,,0,LE07_L1TP_196029_20000702_20211119_02_T1,2000-07-02,PAPROG - GLG 2022,19,
RGI2000-v7.0-G-11-00032,,0,LE07_L1TP_196029_20000702_20211119_02_T1,2000-07-02,PAPROG - GLG 2022,19,
RGI2000-v7.0-G-11-00033,,0,LE07_L1TP_196029_20000702_20211119_02_T1,2000-07-02,PAPROG - GLG 2022,19,
RGI2000-v7.0-G-11-00034,,0,LE07_L1TP_196029_20000702_20211119_02_T1,2000-07-02,PAPROG - GLG 2022,19,
RGI2000-v7.0-G-11-00035,,0,LE07_L1TP_196029_20000702_20211119_02_T1,2000-07-02,PAPROG - GLG 2022,19,
RGI2000-v7.0-G-11-00036,,0,LE07_L1TP_196029_20000702_20211119_02_T1,2000-07-02,PAPROG - GLG 2022,19,
RGI2000-v7.0-G-11-00037,,0,LE07_L1TP_196029_20000702_20211119_02_T1,2000-07-02,PAPROG - GLG 2022,19,
RGI2000-v7.0-G-11-00038,,0,LE07_L1TP_196029_20000702_20211119_02_T1,2000-07-02,PAPROG - GLG 2022,19,
RGI2000-v7.0-G-11-00039,,0,LE07_L1TP_196029_20000702_20211119_02_T1,2000-07-02,PAPROG - GLG 2022,19,
RGI2000-v7.0-G-11-00040,,0,LE07_L1TP_196029_20000702_20211119_02_T1,2000-07-02,PAPROG - GLG 2022,19,
RGI2000-v7.0-G-11-00041,,0,LE07_L1TP_196029_20000702_20211119_02_T1,2000-07-02,PAPROG - GLG 2022,19,
RGI2000-v7.0-G-11-00042,,0,LE07_L1TP_196029_20000702_20211119_02_T1,2000-07-02,PAPROG - GLG 2022,19,
RGI2000-v7.0-G-11-00043,,0,LE07_L1TP_196029_20000702_20211119_02_T1,2000-07-02,PAPROG - GLG 2022,19,
RGI2000-v7.0-G-11-00044,,0,LE07_L1TP_196029_20000702_20211119_02_T1,2000-07-02,PAPROG - GLG 2022,19,
RGI2000-v7.0-G-11-00045,,0,LE07_L1TP_196029_20000702_20211119_02_T1,2000-07-02,PAPROG - GLG 2022,19,
RGI2000-v7.0-G-11-00046,,0,LE07_L1TP_196029_20000702_20211119_02_T1,2000-07-02,PAPROG - GLG 2022,19,
RGI2000-v7.0-G-11-00047,,0,LE07_L1TP_196029_20000702_20211119_02_T1,2000-07-02,PAPROG - GLG 2022,19,
RGI2000-v7.0-G-11-00048,,0,LE07_L1TP_196029_20000702_20211119_02_T1,2000-07-02,PAPROG - GLG 2022,19,
RGI2000-v7.0-G-11-00049,,0,LE07_L1TP_196029_20000702_20211119_02_T1,2000-07-02,PAPROG - GLG 2022,19,
RGI2000-v7.0-G-11-00050,,0,LE07_L1TP_196029_20000702_20211119_02_T1,2000-07-02,PAPROG - GLG 2022,19,
RGI2000-v7.0-G-11-00051,,0,LE07_L1TP_196029_20000702_20211119_02_T1,2000-07-02,PAPROG - GLG 2022,19,
RGI2000-v7.0-G-11-00052,,0,LE07_L1TP_196029_20000702_20211119_02_T1,2000-07-02,PAPROG - GLG 2022,19,
RGI2000-v7.0-G-11-00053,,0,LE07_L1TP_196029_20000702_20211119_02_T1,2000-07-02,PAPROG - GLG 2022,19,
RGI2000-v7.0-G-11-00054,,0,LE07_L1TP_196029_20000702_20211119_02_T1,2000-07-02,PAPROG - GLG 2022,19,
RGI2000-v7.0-G-11-00055,,0,LE07_L1TP_196029_20000702_20211119_02_T1,2000-07-02,PAPROG - GLG 2022,19,
RGI2000-v7.0-G-11-00056,,0,LE07_L1TP_196029_20000702_20211119_02_T1,2000-07-02,PAPROG - GLG 2022,19,
RGI2000-v7.0-G-11-00057,,0,LE07_L1TP_196029_20000702_20211119_02_T1,2000-07-02,PAPROG - GLG 2022,19,
RGI2000-v7.0-G-11-00058,,0,LE07_L1TP_196029_20000702_20211119_02_T1,2000-07-02,PAPROG - GLG 2022,19,
