rgi_id,auto_term,lake_level,image_id,image_date,inventory_doi,contributor,notes
RGI2000-v7.0-G-12-00001,9,0,LE07_L1TP_173030_20000717_20200918_02_T1,2000-07-17,,McNabb,
RGI2000-v7.0-G-12-00002,9,0,LE07_L1TP_173030_20000717_20200918_02_T1,2000-07-17,,McNabb,
RGI2000-v7.0-G-12-00003,9,0,LE07_L1TP_173030_20000717_20200918_02_T1,2000-07-17,,McNabb,
RGI2000-v7.0-G-12-00004,9,0,LE07_L1TP_173030_20000717_20200918_02_T1,2000-07-17,,McNabb,
RGI2000-v7.0-G-12-00005,9,0,LE07_L1TP_173030_20000717_20200918_02_T1,2000-07-17,,McNabb,
RGI2000-v7.0-G-12-00006,9,0,LE07_L1TP_173030_20000717_20200918_02_T1,2000-07-17,,McNabb,
RGI2000-v7.0-G-12-00007,9,0,LE07_L1TP_173030_20000717_20200918_02_T1,2000-07-17,,McNabb,
RGI2000-v7.0-G-12-00008,9,0,LE07_L1TP_173030_20000717_20200918_02_T1,2000-07-17,,McNabb,
RGI2000-v7.0-G-12-00009,9,0,LE07_L1TP_173030_20000717_20200918_02_T1,2000-07-17,,McNabb,
RGI2000-v7.0-G-12-00010,9,0,LE07_L1TP_173030_20000717_20200918_02_T1,2000-07-17,,McNabb,
RGI2000-v7.0-G-12-00011,9,0,LE07_L1TP_173030_20000717_20200918_02_T1,2000-07-17,,McNabb,
RGI2000-v7.0-G-12-00012,9,0,LE07_L1TP_173030_20000717_20200918_02_T1,2000-07-17,,McNabb,
RGI2000-v7.0-G-12-00013,9,0,LE07_L1TP_173030_20000717_20200918_02_T1,2000-07-17,,McNabb,
RGI2000-v7.0-G-12-00014,9,0,LE07_L1TP_173030_20000717_20200918_02_T1,2000-07-17,,McNabb,
RGI2000-v7.0-G-12-00015,9,0,LE07_L1TP_173030_20000717_20200918_02_T1,2000-07-17,,McNabb,
RGI2000-v7.0-G-12-00016,9,0,LE07_L1TP_173030_20000717_20200918_02_T1,2000-07-17,,McNabb,
RGI2000-v7.0-G-12-00017,9,0,LE07_L1TP_173030_20000717_20200918_02_T1,2000-07-17,,McNabb,
RGI2000-v7.0-G-12-00018,9,0,LE07_L1TP_173030_20000717_20200918_02_T1,2000-07-17,,McNabb,
RGI2000-v7.0-G-12-00019,9,0,LE07_L1TP_173030_20000717_20200918_02_T1,2000-07-17,,McNabb,
RGI2000-v7.0-G-12-00020,9,0,LE07_L1TP_173030_20000717_20200918_02_T1,2000-07-17,,McNabb,
RGI2000-v7.0-G-12-00021,9,0,LE07_L1TP_173030_20000717_20200918_02_T1,2000-07-17,,McNabb,
RGI2000-v7.0-G-12-00022,9,0,LE07_L1TP_173030_20000717_20200918_02_T1,2000-07-17,,McNabb,
RGI2000-v7.0-G-12-00023,9,0,LE07_L1TP_173030_20000717_20200918_02_T1,2000-07-17,,McNabb,
RGI2000-v7.0-G-12-00024,9,0,LE07_L1TP_173030_20000717_20200918_02_T1,2000-07-17,,McNabb,
RGI2000-v7.0-G-12-00025,9,0,LE07_L1TP_173030_20000717_20200918_02_T1,2000-07-17,,McNabb,
RGI2000-v7.0-G-12-00026,9,0,LE07_L1TP_173030_20000717_20200918_02_T1,2000-07-17,,McNabb,
RGI2000-v7.0-G-12-00027,9,0,LE07_L1TP_173030_20000717_20200918_02_T1,2000-07-17,,McNabb,
RGI2000-v7.0-G-12-00028,9,0,LE07_L1TP_173030_20000717_20200918_02_T1,2000-07-17,,McNabb,
