rgi_id,lake_level,image_id,image_date,inventory_doi,contributor
RGI2000-v7.0-G-17-00001,0,LE07_L1TP_232094_20010311_20230401_02_T1,2001-03-11,,Rodrigo Aguayo
RGI2000-v7.0-G-17-00002,0,LE07_L1TP_232094_20010311_20230401_02_T1,2001-03-11,,Rodrigo Aguayo
RGI2000-v7.0-G-17-00003,0,LE07_L1TP_232094_20010311_20230401_02_T1,2001-03-11,,Rodrigo Aguayo
RGI2000-v7.0-G-17-00004,0,LE07_L1TP_232094_20010311_20230401_02_T1,2001-03-11,,Rodrigo Aguayo
RGI2000-v7.0-G-17-00005,0,LE07_L1TP_232094_20010311_20230401_02_T1,2001-03-11,,Rodrigo Aguayo
RGI2000-v7.0-G-17-00006,0,LE07_L1TP_232094_20010311_20230401_02_T1,2001-03-11,,Rodrigo Aguayo
RGI2000-v7.0-G-17-00007,0,LE07_L1TP_232094_20010311_20230401_02_T1,2001-03-11,,Rodrigo Aguayo
RGI2000-v7.0-G-17-00008,0,LE07_L1TP_232094_20010311_20230401_02_T1,2001-03-11,,Rodrigo Aguayo
RGI2000-v7.0-G-17-00009,0,LE07_L1TP_232094_20010311_20230401_02_T1,2001-03-11,,Rodrigo Aguayo
RGI2000-v7.0-G-17-00010,0,LE07_L1TP_232094_20010311_20230401_02_T1,2001-03-11,,Rodrigo Aguayo
RGI2000-v7.0-G-17-00011,0,LE07_L1TP_232094_20010311_20230401_02_T1,2001-03-11,,Rodrigo Aguayo
RGI2000-v7.0-G-17-00012,0,LE07_L1TP_232094_20010311_20230401_02_T1,2001-03-11,,Rodrigo Aguayo
RGI2000-v7.0-G-17-00013,0,LE07_L1TP_232094_20010311_20230401_02_T1,2001-03-11,,Rodrigo Aguayo
RGI2000-v7.0-G-17-00014,0,LE07_L1TP_232094_20010311_20230401_02_T1,2001-03-11,,Rodrigo Aguayo
RGI2000-v7.0-G-17-00015,0,LE07_L1TP_232094_20010311_20230401_02_T1,2001-03-11,,Rodrigo Aguayo
RGI2000-v7.0-G-17-00016,0,LE07_L1TP_232094_20010311_20230401_02_T1,2001-03-11,,Rodrigo Aguayo
