rgi_id,auto_term,lake_level,image_id,image_date,inventory_doi,contributor,notes
RGI2000-v7.0-G-18-00001,9,0,LE07_L1TP_076092_20010407_20200917_02_T1,2001-04-07,,"White,McNabb",
RGI2000-v7.0-G-18-00002,9,0,LE07_L1TP_076092_20010407_20200917_02_T1,2001-04-07,,"White,McNabb",
RGI2000-v7.0-G-18-00003,9,0,LE07_L1TP_076091_20010407_20200917_02_T1,2001-04-07,,"White,McNabb",
RGI2000-v7.0-G-18-00004,9,0,LE07_L1TP_076091_20010407_20200917_02_T1,2001-04-07,,"White,McNabb",
RGI2000-v7.0-G-18-00005,9,0,LE07_L1TP_076091_20010407_20200917_02_T1,2001-04-07,,"White,McNabb",
RGI2000-v7.0-G-18-00006,9,0,LE07_L1TP_076091_20010407_20200917_02_T1,2001-04-07,,"White,McNabb",
RGI2000-v7.0-G-18-00007,9,0,LE07_L1TP_076091_20010407_20200917_02_T1,2001-04-07,,"White,McNabb",
RGI2000-v7.0-G-18-00008,9,0,LE07_L1TP_076091_20010407_20200917_02_T1,2001-04-07,,"White,McNabb",
RGI2000-v7.0-G-18-00009,9,0,LE07_L1TP_076091_20010407_20200917_02_T1,2001-04-07,,"White,McNabb",
RGI2000-v7.0-G-18-00010,9,0,LE07_L1TP_076091_20010407_20200917_02_T1,2001-04-07,,"White,McNabb",
RGI2000-v7.0-G-18-00011,9,0,LE07_L1TP_076091_20010407_20200917_02_T1,2001-04-07,,"White,McNabb",
RGI2000-v7.0-G-18-00012,9,0,LE07_L1TP_076091_20010407_20200917_02_T1,2001-04-07,,"White,McNabb",
RGI2000-v7.0-G-18-00013,9,0,LE07_L1TP_076091_20010407_20200917_02_T1,2001-04-07,,"White,McNabb",
RGI2000-v7.0-G-18-00014,9,0,LE07_L1TP_076091_20010407_20200917_02_T1,2001-04-07,,"White,McNabb",
RGI2000-v7.0-G-18-00015,9,0,LE07_L1TP_076091_20010407_20200917_02_T1,2001-04-07,,"White,McNabb",
RGI2000-v7.0-G-18-00016,9,0,LE07_L1TP_076091_20010407_20200917_02_T1,2001-04-07,,"White,McNabb",
RGI2000-v7.0-G-18-00017,9,0,LE07_L1TP_076091_20010407_20200917_02_T1,2001-04-07,,"White,McNabb",
RGI2000-v7.0-G-18-00018,9,0,LE07_L1TP_076091_20010407_20200917_02_T1,2001-04-07,,"White,McNabb",
RGI2000-v7.0-G-18-00019,9,0,LE07_L1TP_076091_20010407_20200917_02_T1,2001-04-07,,"White,McNabb",
RGI2000-v7.0-G-18-00020,9,0,LE07_L1TP_076091_20010407_20200917_02_T1,2001-04-07,,"White,McNabb",
RGI2000-v7.0-G-18-00021,9,0,LE07_L1TP_076091_20010407_20200917_02_T1,2001-04-07,,"White,McNabb",
RGI2000-v7.0-G-18-00022,9,0,LE07_L1TP_076091_20010407_20200917_02_T1,2001-04-07,,"White,McNabb",
RGI2000-v7.0-G-18-00023,9,0,LE07_L1TP_076091_20010407_20200917_02_T1,2001-04-07,,"White,McNabb",
RGI2000-v7.0-G-18-00024,9,0,LE07_L1TP_076091_20010407_20200917_02_T1,2001-04-07,,"White,McNabb",
RGI2000-v7.0-G-18-00025,9,0,LE07_L1TP_076091_20010407_20200917_02_T1,2001-04-07,,"White,McNabb",
RGI2000-v7.0-G-18-00026,9,0,LE07_L1TP_076091_20010407_20200917_02_T1,2001-04-07,,"White,McNabb",
RGI2000-v7.0-G-18-00027,9,0,LE07_L1TP_076091_20010407_20200917_02_T1,2001-04-07,,"White,McNabb",
RGI2000-v7.0-G-18-00028,9,0,LE07_L1TP_076091_20010407_20200917_02_T1,2001-04-07,,"White,McNabb",
RGI2000-v7.0-G-18-00029,9,0,LE07_L1TP_076091_20010407_20200917_02_T1,2001-04-07,,"White,McNabb",
RGI2000-v7.0-G-18-00030,9,0,LE07_L1TP_076091_20010407_20200917_02_T1,2001-04-07,,"White,McNabb",
RGI2000-v7.0-G-18-00031,9,0,LE07_L1TP_076091_20010407_20200917_02_T1,2001-04-07,,"White,McNabb",
RGI2000-v7.0-G-18-00032,9,0,LE07_L1TP_076091_20010407_20200917_02_T1,2001-04-07,,"White,McNabb",
RGI2000-v7.0-G-18-00033,9,0,LE07_L1TP_076091_20010407_20200917_02_T1,2001-04-07,,"White,McNabb",
RGI2000-v7.0-G-18-00034,9,0,LE07_L1TP_076091_20010407_20200917_02_T1,2001-04-07,,"White,McNabb",
RGI2000-v7.0-G-18-00035,9,0,LE07_L1TP_076091_20010407_20200917_02_T1,2001-04-07,,"White,McNabb",
RGI2000-v7.0-G-18-00036,9,0,LE07_L1TP_076091_20010407_20200917_02_T1,2001-04-07,,"White,McNabb",
RGI2000-v7.0-G-18-00037,9,0,LE07_L1TP_076091_20010407_20200917_02_T1,2001-04-07,,"White,McNabb",
RGI2000-v7.0-G-18-00038,9,0,LE07_L1TP_076091_20010407_20200917_02_T1,2001-04-07,,"White,McNabb",
RGI2000-v7.0-G-18-00039,9,0,LE07_L1TP_076091_20010407_20200917_02_T1,2001-04-07,,"White,McNabb",
RGI2000-v7.0-G-18-00040,9,0,LE07_L1TP_076091_20010407_20200917_02_T1,2001-04-07,,"White,McNabb",
