rgi_id,lake_level,image_id,image_date,inventory_doi,contributor
RGI2000-v7.0-G-19-00001,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00002,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00003,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00004,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00005,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00006,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00007,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00008,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00009,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00010,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00011,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00012,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00013,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00014,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00015,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00016,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00017,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00018,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00019,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00020,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00021,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00022,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00023,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00024,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00025,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00026,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00027,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00028,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00029,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00030,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00031,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00032,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00033,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00034,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00035,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00036,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00037,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00038,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00039,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00040,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00041,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00042,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00043,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00044,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00045,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00046,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00047,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00048,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00049,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00050,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00051,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00052,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00053,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00054,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00055,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00056,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00057,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00058,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00059,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00060,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00061,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00062,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00063,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00064,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00065,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00066,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00067,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00068,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00069,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00070,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00071,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00072,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00073,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00074,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00075,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00076,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00077,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00078,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00079,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00080,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00081,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00082,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00083,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00084,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00085,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00086,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00087,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00088,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00089,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00090,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00091,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00092,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00093,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00094,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00095,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00096,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00097,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00098,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00099,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00100,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00101,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00102,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00103,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00104,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00105,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00106,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00107,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00108,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00109,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00110,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00111,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00112,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00113,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00114,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
RGI2000-v7.0-G-19-00115,0,,,,"Miles Sterner, Will Kochtitzky, Kailey Potter, Mike Cloutier"
