rgi_id,auto_term,lake_cat,image_id,image_date,inventory_doi,contributor,notes
RGI2000-v7.0-G-07-01584,9,0,LE07_L1TP_216010_20020906_20200916_02_T2,2002-09-06,https://doi.org/10.1017/jog.2023.34,McNabb,
RGI2000-v7.0-G-07-01585,9,0,LE07_L1TP_216010_20020906_20200916_02_T2,2002-09-06,https://doi.org/10.1017/jog.2023.34,McNabb,
RGI2000-v7.0-G-07-01586,9,0,LE07_L1TP_216010_20020906_20200916_02_T2,2002-09-06,https://doi.org/10.1017/jog.2023.34,McNabb,
RGI2000-v7.0-G-07-01587,9,0,LE07_L1TP_216010_20020906_20200916_02_T2,2002-09-06,https://doi.org/10.1017/jog.2023.34,McNabb,
RGI2000-v7.0-G-07-01588,9,0,LE07_L1TP_216010_20020906_20200916_02_T2,2002-09-06,https://doi.org/10.1017/jog.2023.34,McNabb,
RGI2000-v7.0-G-07-01589,9,0,LE07_L1TP_216010_20020906_20200916_02_T2,2002-09-06,https://doi.org/10.1017/jog.2023.34,McNabb,
RGI2000-v7.0-G-07-01590,9,0,LE07_L1TP_216010_20020906_20200916_02_T2,2002-09-06,https://doi.org/10.1017/jog.2023.34,McNabb,
RGI2000-v7.0-G-07-01591,9,0,LE07_L1TP_216010_20020906_20200916_02_T2,2002-09-06,https://doi.org/10.1017/jog.2023.34,McNabb,
RGI2000-v7.0-G-07-01592,9,0,LE07_L1TP_216010_20020906_20200916_02_T2,2002-09-06,https://doi.org/10.1017/jog.2023.34,McNabb,
RGI2000-v7.0-G-07-01593,9,0,LE07_L1TP_216010_20020906_20200916_02_T2,2002-09-06,https://doi.org/10.1017/jog.2023.34,McNabb,
RGI2000-v7.0-G-07-01594,9,0,LE07_L1TP_216010_20020906_20200916_02_T2,2002-09-06,https://doi.org/10.1017/jog.2023.34,McNabb,
RGI2000-v7.0-G-07-01595,9,0,LE07_L1TP_216010_20020906_20200916_02_T2,2002-09-06,https://doi.org/10.1017/jog.2023.34,McNabb,
RGI2000-v7.0-G-07-01596,9,0,LE07_L1TP_216010_20020906_20200916_02_T2,2002-09-06,https://doi.org/10.1017/jog.2023.34,McNabb,
RGI2000-v7.0-G-07-01597,9,0,LE07_L1TP_216010_20020906_20200916_02_T2,2002-09-06,https://doi.org/10.1017/jog.2023.34,McNabb,
RGI2000-v7.0-G-07-01598,9,0,LE07_L1TP_216010_20020906_20200916_02_T2,2002-09-06,https://doi.org/10.1017/jog.2023.34,McNabb,
RGI2000-v7.0-G-07-01599,9,0,LE07_L1TP_216010_20020906_20200916_02_T2,2002-09-06,https://doi.org/10.1017/jog.2023.34,McNabb,
RGI2000-v7.0-G-07-01600,9,0,LE07_L1TP_216010_20020906_20200916_02_T2,2002-09-06,https://doi.org/10.1017/jog.2023.34,McNabb,
RGI2000-v7.0-G-07-01601,9,0,LE07_L1TP_216010_20020906_20200916_02_T2,2002-09-06,https://doi.org/10.1017/jog.2023.34,McNabb,
RGI2000-v7.0-G-07-01602,9,0,LE07_L1TP_216010_20020906_20200916_02_T2,2002-09-06,https://doi.org/10.1017/jog.2023.34,McNabb,
RGI2000-v7.0-G-07-01603,9,0,LE07_L1TP_216010_20020906_20200916_02_T2,2002-09-06,https://doi.org/10.1017/jog.2023.34,McNabb,
RGI2000-v7.0-G-07-01604,9,0,LE07_L1TP_216010_20020906_20200916_02_T2,2002-09-06,https://doi.org/10.1017/jog.2023.34,McNabb,
RGI2000-v7.0-G-07-01605,9,0,LE07_L1TP_216010_20020906_20200916_02_T2,2002-09-06,https://doi.org/10.1017/jog.2023.34,McNabb,
RGI2000-v7.0-G-07-01606,9,0,LE07_L1TP_216010_20020906_20200916_02_T2,2002-09-06,https://doi.org/10.1017/jog.2023.34,McNabb,
RGI2000-v7.0-G-07-01607,9,0,LE07_L1TP_216010_20020906_20200916_02_T2,2002-09-06,https://doi.org/10.1017/jog.2023.34,McNabb,
RGI2000-v7.0-G-07-01608,9,0,LE07_L1TP_216010_20020906_20200916_02_T2,2002-09-06,https://doi.org/10.1017/jog.2023.34,McNabb,
RGI2000-v7.0-G-07-01609,9,0,LE07_L1TP_216010_20020906_20200916_02_T2,2002-09-06,https://doi.org/10.1017/jog.2023.34,McNabb,
RGI2000-v7.0-G-07-01610,9,0,LE07_L1TP_216010_20020906_20200916_02_T2,2002-09-06,https://doi.org/10.1017/jog.2023.34,McNabb,
RGI2000-v7.0-G-07-01611,9,0,LE07_L1TP_216010_20020906_20200916_02_T2,2002-09-06,https://doi.org/10.1017/jog.2023.34,McNabb,
RGI2000-v7.0-G-07-01612,9,0,LE07_L1TP_216010_20020906_20200916_02_T2,2002-09-06,https://doi.org/10.1017/jog.2023.34,McNabb,
RGI2000-v7.0-G-07-01613,9,0,LE07_L1TP_216010_20020906_20200916_02_T2,2002-09-06,https://doi.org/10.1017/jog.2023.34,McNabb,
RGI2000-v7.0-G-07-01614,9,0,LE07_L1TP_216010_20020906_20200916_02_T2,2002-09-06,https://doi.org/10.1017/jog.2023.34,McNabb,
RGI2000-v7.0-G-07-01615,9,0,LE07_L1TP_216010_20020906_20200916_02_T2,2002-09-06,https://doi.org/10.1017/jog.2023.34,McNabb,
RGI2000-v7.0-G-07-01616,9,0,LE07_L1TP_216010_20020906_20200916_02_T2,2002-09-06,https://doi.org/10.1017/jog.2023.34,McNabb,
RGI2000-v7.0-G-07-01617,9,0,LE07_L1TP_216010_20020906_20200916_02_T2,2002-09-06,https://doi.org/10.1017/jog.2023.34,McNabb,
RGI2000-v7.0-G-07-01618,9,0,LE07_L1TP_216010_20020906_20200916_02_T2,2002-09-06,https://doi.org/10.1017/jog.2023.34,McNabb,
RGI2000-v7.0-G-07-01619,9,0,LE07_L1TP_216010_20020906_20200916_02_T2,2002-09-06,https://doi.org/10.1017/jog.2023.34,McNabb,
RGI2000-v7.0-G-07-01620,9,0,LE07_L1TP_216010_20020906_20200916_02_T2,2002-09-06,https://doi.org/10.1017/jog.2023.34,McNabb,
RGI2000-v7.0-G-07-01621,9,0,LE07_L1TP_216010_20020906_20200916_02_T2,2002-09-06,https://doi.org/10.1017/jog.2023.34,McNabb,
RGI2000-v7.0-G-07-01622,9,0,LE07_L1TP_216010_20020906_20200916_02_T2,2002-09-06,https://doi.org/10.1017/jog.2023.34,McNabb,
RGI2000-v7.0-G-07-01623,9,0,LE07_L1TP_216010_20020906_20200916_02_T2,2002-09-06,https://doi.org/10.1017/jog.2023.34,McNabb,
