rgi_id,auto_term,lake_cat,image_id,image_date,inventory_doi,contributor,notes
RGI2000-v7.0-G-10-00983,9,0,LE07_L1TP_147025_19990826_20200918_02_T1,1999-08-26,https://doi.org/10.12072/casnw.064.2019.db,McNabb,
RGI2000-v7.0-G-10-00984,9,0,LE07_L1TP_146025_19990803_20200918_02_T1,1999-08-03,https://doi.org/10.12072/casnw.064.2019.db,McNabb,
RGI2000-v7.0-G-10-00985,9,1,LE07_L1TP_146025_19990803_20200918_02_T1,1999-08-03,https://doi.org/10.12072/casnw.064.2019.db,McNabb,
RGI2000-v7.0-G-10-00986,9,0,LE07_L1TP_146025_19990803_20200918_02_T1,1999-08-03,https://doi.org/10.12072/casnw.064.2019.db,McNabb,
RGI2000-v7.0-G-10-00987,9,0,LE07_L1TP_146025_19990803_20200918_02_T1,1999-08-03,https://doi.org/10.12072/casnw.064.2019.db,McNabb,
RGI2000-v7.0-G-10-00988,9,0,LE07_L1TP_146025_19990803_20200918_02_T1,1999-08-03,https://doi.org/10.12072/casnw.064.2019.db,McNabb,
RGI2000-v7.0-G-10-00989,9,0,LE07_L1TP_146025_19990803_20200918_02_T1,1999-08-03,https://doi.org/10.12072/casnw.064.2019.db,McNabb,
RGI2000-v7.0-G-10-00990,9,0,LE07_L1TP_146025_19990803_20200918_02_T1,1999-08-03,https://doi.org/10.12072/casnw.064.2019.db,McNabb,
RGI2000-v7.0-G-10-00991,9,0,LE07_L1TP_146025_19990803_20200918_02_T1,1999-08-03,https://doi.org/10.12072/casnw.064.2019.db,McNabb,
RGI2000-v7.0-G-10-00992,9,0,LE07_L1TP_146025_19990803_20200918_02_T1,1999-08-03,https://doi.org/10.12072/casnw.064.2019.db,McNabb,
RGI2000-v7.0-G-10-00993,9,0,LE07_L1TP_146025_19990803_20200918_02_T1,1999-08-03,https://doi.org/10.12072/casnw.064.2019.db,McNabb,
RGI2000-v7.0-G-10-00994,9,0,LE07_L1TP_146025_19990803_20200918_02_T1,1999-08-03,https://doi.org/10.12072/casnw.064.2019.db,McNabb,
RGI2000-v7.0-G-10-00995,9,0,LE07_L1TP_146025_19990803_20200918_02_T1,1999-08-03,https://doi.org/10.12072/casnw.064.2019.db,McNabb,
RGI2000-v7.0-G-10-00996,9,0,LE07_L1TP_146025_19990803_20200918_02_T1,1999-08-03,https://doi.org/10.12072/casnw.064.2019.db,McNabb,
RGI2000-v7.0-G-10-00997,9,0,LE07_L1TP_146025_19990803_20200918_02_T1,1999-08-03,https://doi.org/10.12072/casnw.064.2019.db,McNabb,
RGI2000-v7.0-G-10-00998,9,0,LE07_L1TP_146025_19990803_20200918_02_T1,1999-08-03,https://doi.org/10.12072/casnw.064.2019.db,McNabb,
RGI2000-v7.0-G-10-00999,9,2,LE07_L1TP_146025_19990803_20200918_02_T1,1999-08-03,https://doi.org/10.12072/casnw.064.2019.db,McNabb,
RGI2000-v7.0-G-10-01000,9,0,LE07_L1TP_146025_19990803_20200918_02_T1,1999-08-03,https://doi.org/10.12072/casnw.064.2019.db,McNabb,
RGI2000-v7.0-G-10-01001,9,0,LE07_L1TP_146025_19990803_20200918_02_T1,1999-08-03,https://doi.org/10.12072/casnw.064.2019.db,McNabb,
RGI2000-v7.0-G-10-01002,9,0,LE07_L1TP_146025_19990803_20200918_02_T1,1999-08-03,https://doi.org/10.12072/casnw.064.2019.db,McNabb,
RGI2000-v7.0-G-10-01003,9,0,LE07_L1TP_146025_19990803_20200918_02_T1,1999-08-03,https://doi.org/10.12072/casnw.064.2019.db,McNabb,
RGI2000-v7.0-G-10-01004,9,0,LE07_L1TP_147025_19990826_20200918_02_T1,1999-08-26,https://doi.org/10.12072/casnw.064.2019.db,McNabb,
