region,multiple_contributors,conflicts
01_alaska,12192,3
02_western_canada_usa,174,20
03_arctic_canada_north,5214,0
04_arctic_canada_south,10971,0
05_greenland_periphery,433,11
06_iceland,35,3
07_svalbard_jan_mayen,378,7
08_scandinavia,0,0
09_russian_arctic,1069,0
10_north_asia,42,0
11_central_europe,2166,10
12_caucasus_middle_east,31,30
13_central_asia,0,0
14_south_asia_west,0,0
15_south_asia_east,0,0
16_low_latitudes,0,0
17_southern_andes,6582,0
18_new_zealand,3018,0
19_subantarctic_antarctic_islands,2742,0
total,45047,84
